yourlist:M202108196320BA52A5CE8FCD097CB85A53697A3513E9A1H	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology IDs	Gene ontology (GO)
A0A084QL22	A0A084QL22	A0A084QL22_STAC4	unreviewed	2-phosphoglycerate dehydratase (EC 4.2.1.11) (Enolase) (Fragment)	S40285_06166	Stachybotrys chlorohalonata (strain IBT 40285)	477	GO:0000015; GO:0000287; GO:0004634; GO:0006096	phosphopyruvate hydratase complex [GO:0000015]; magnesium ion binding [GO:0000287]; phosphopyruvate hydratase activity [GO:0004634]; glycolytic process [GO:0006096]
A0A088CK55	A0A088CK55	A0A088CK55_9CHLO	unreviewed	ATP synthase subunit beta, chloroplastic (EC 7.1.2.2) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)	atpB	Picocystis salinarum	490	GO:0005524; GO:0009535; GO:0045261; GO:0046933; GO:0046961	chloroplast thylakoid membrane [GO:0009535]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]; ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]
A0A089PGL6	A0A089PGL6	A0A089PGL6_9PROC	unreviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groL groEL EW15_1888	Prochlorococcus sp. MIT 0801	543	GO:0005524; GO:0005737; GO:0016887; GO:0042026; GO:0051082	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]
A0A094PV50	A0A094PV50	A0A094PV50_9ZZZZ	unreviewed	ABC transporter domain-containing protein	GM50_22020	freshwater metagenome	359	GO:0005524; GO:0042626	ATP binding [GO:0005524]; ATPase-coupled transmembrane transporter activity [GO:0042626]
A0A098TGX5	A0A098TGX5	A0A098TGX5_9CYAN	unreviewed	Molecular chaperone Hsp90	DO97_14960	Neosynechococcus sphagnicola sy1	659	GO:0005524; GO:0006457; GO:0016887; GO:0051082	ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457]
A0A098TJ29	A0A098TJ29	A0A098TJ29_9CYAN	unreviewed	Chaperone protein ClpB	clpB DO97_13985	Neosynechococcus sphagnicola sy1	873	GO:0005524; GO:0005737; GO:0009408; GO:0016887; GO:0042026	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; protein refolding [GO:0042026]; response to heat [GO:0009408]
A0A099D7L6	A0A099D7L6	A0A099D7L6_9ACTN	unreviewed	Cell division protein FtsZ	ftsZ CDG81_07875	Actinopolyspora erythraea	499	GO:0000917; GO:0003924; GO:0005525; GO:0005737; GO:0032153; GO:0043093; GO:0051258	cell division site [GO:0032153]; cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; division septum assembly [GO:0000917]; FtsZ-dependent cytokinesis [GO:0043093]; protein polymerization [GO:0051258]
A0A0A2C600	A0A0A2C600	A0A0A2C600_PROMR	unreviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groL groEL EV03_0889	Prochlorococcus marinus str. PAC1	522	GO:0005524; GO:0005737; GO:0016887; GO:0042026; GO:0051082	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]
A0A0B0QSG2	A0A0B0QSG2	A0A0B0QSG2_APHF2	unreviewed	DNA-directed RNA polymerase subunit gamma (RNAP subunit gamma) (EC 2.7.7.6) (RNA polymerase subunit gamma) (Transcriptase subunit gamma)	rpoC1 OA07_14660	Aphanizomenon flos-aquae (strain 2012/KM1/D3)	630	GO:0000287; GO:0003677; GO:0003899; GO:0006351; GO:0008270	DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; magnesium ion binding [GO:0000287]; zinc ion binding [GO:0008270]; transcription, DNA-templated [GO:0006351]
A0A0B0QTB3	A0A0B0QTB3	A0A0B0QTB3_APHF2	unreviewed	Carbon dioxide-concentrating protein CcmK	OA07_12830	Aphanizomenon flos-aquae (strain 2012/KM1/D3)	114	GO:0015977; GO:0031470	carboxysome [GO:0031470]; carbon fixation [GO:0015977]
A0A0C1R404	A0A0C1R404	A0A0C1R404_9CYAN	unreviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groEL groL DA73_0238140	Tolypothrix bouteillei VB521301	546	GO:0005524; GO:0005737; GO:0016887; GO:0042026; GO:0051082	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]
A0A0C1RAC6	A0A0C1RAC6	A0A0C1RAC6_9CYAN	unreviewed	Fasciclin	DA73_0233345	Tolypothrix bouteillei VB521301	134		
A0A0C1RAQ9	A0A0C1RAQ9	A0A0C1RAQ9_9CYAN	unreviewed	Phospholipid-binding protein	DA73_0204380	Tolypothrix bouteillei VB521301	121		
A0A0C1RG04	A0A0C1RG04	A0A0C1RG04_9CYAN	unreviewed	Membrane protein	DA73_0221865	Tolypothrix bouteillei VB521301	564	GO:0008643; GO:0015288; GO:0016021	integral component of membrane [GO:0016021]; porin activity [GO:0015288]; carbohydrate transport [GO:0008643]
A0A0C2KRY5	A0A0C2KRY5	A0A0C2KRY5_9CYAN	unreviewed	Carbon dioxide-concentrating protein CcmK	SD81_28105	Tolypothrix campylonemoides VB511288	115	GO:0015977; GO:0031470	carboxysome [GO:0031470]; carbon fixation [GO:0015977]
A0A0C2MBX4	A0A0C2MBX4	A0A0C2MBX4_9CYAN	unreviewed	Bicarbonate-binding protein	SD80_06765	Scytonema tolypothrichoides VB-61278	456	GO:0006811	ion transport [GO:0006811]
A0A0C5XUX6	A0A0C5XUX6	A0A0C5XUX6_SPHYB	unreviewed	ATP synthase subunit beta (EC 7.1.2.2) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)	atpD TZ53_14665	Sphingobium sp. (strain YBL2)	481	GO:0005524; GO:0005886; GO:0045261; GO:0046933; GO:0046961	plasma membrane [GO:0005886]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]; ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]
A0A0D6KPR2	A0A0D6KPR2	A0A0D6KPR2_9CYAN	unreviewed	Glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.-)	FDUTEX481_07898	Tolypothrix sp. PCC 7601	337	GO:0006006; GO:0016620; GO:0050661; GO:0051287	NAD binding [GO:0051287]; NADP binding [GO:0050661]; oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor [GO:0016620]; glucose metabolic process [GO:0006006]
A0A0D8ZX73	A0A0D8ZX73	A0A0D8ZX73_9CYAN	unreviewed	Phospholipid-binding protein	UH38_00850	Aliterella atlantica CENA595	114		
A0A0E9L5C4	A0A0E9L5C4	A0A0E9L5C4_9BURK	unreviewed	Superoxide dismutase (EC 1.15.1.1)	ALISP_0572	Alicycliphilus sp. B1	193	GO:0004784; GO:0046872	metal ion binding [GO:0046872]; superoxide dismutase activity [GO:0004784]
A0A0F5YL23	A0A0F5YL23	A0A0F5YL23_9CYAN	unreviewed	50S ribosomal protein L5	rplE rpl5 WN50_03865	Limnoraphis robusta CS-951	182	GO:0000049; GO:0003735; GO:0005840; GO:0006412; GO:0019843	ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; translation [GO:0006412]
A0A0G2IVY0	A0A0G2IVY0	A0A0G2IVY0_9SYNE	unreviewed	Fructose-1,6-bisphosphate aldolase (FBP aldolase) (EC 4.1.2.13)	TE42_07440	Candidatus Synechococcus spongiarum SP3	357	GO:0004332; GO:0006096; GO:0008270	fructose-bisphosphate aldolase activity [GO:0004332]; zinc ion binding [GO:0008270]; glycolytic process [GO:0006096]
A0A0G8AZ36	A0A0G8AZ36	A0A0G8AZ36_9SYNE	unreviewed	Fructose-1,6-bisphosphate aldolase (FBP aldolase) (EC 4.1.2.13)	TQ37_01470	Candidatus Synechococcus spongiarum 15L	357	GO:0004332; GO:0006096; GO:0008270	fructose-bisphosphate aldolase activity [GO:0004332]; zinc ion binding [GO:0008270]; glycolytic process [GO:0006096]
A0A0K1SAE5	A0A0K1SAE5	A0A0K1SAE5_9CHRO	unreviewed	Global nitrogen regulatory protein CRP family of transcriptional regulator	VL20_6260	Microcystis panniformis FACHB-1757	225	GO:0003677; GO:0003700	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]
A0A0K2LVT4	A0A0K2LVT4	A0A0K2LVT4_9NOST	unreviewed	Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8)	AA650_05135	Anabaena sp. WA102	260	GO:0003755	peptidyl-prolyl cis-trans isomerase activity [GO:0003755]
A0A0K2LWN8	A0A0K2LWN8	A0A0K2LWN8_9NOST	unreviewed	30S ribosomal protein S11	rpsK rps11 AA650_06705	Anabaena sp. WA102	131	GO:0003735; GO:0005840; GO:0006412; GO:0019843	ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A0K2M0Z0	A0A0K2M0Z0	A0A0K2M0Z0_9NOST	unreviewed	Carbon dioxide-concentrating protein CcmK	AA650_14630	Anabaena sp. WA102	114	GO:0015977; GO:0031470	carboxysome [GO:0031470]; carbon fixation [GO:0015977]
A0A0K2ZX84	A0A0K2ZX84	A0A0K2ZX84_XANCT	unreviewed	FAS1 domain-containing protein	XTPLMG728_2020	Xanthomonas translucens pv. poae	196		
A0A0L6HY94	A0A0L6HY94	A0A0L6HY94_9MICO	unreviewed	30S ribosomal protein S8	rpsH AKH00_09740	Microbacterium sp. GCS4	132	GO:0003735; GO:0005840; GO:0006412; GO:0019843	ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A0M0J8G7	A0A0M0J8G7	A0A0M0J8G7_9EUKA	unreviewed	Beta-ig-h3 fasciclin	Ctob_004781	Chrysochromulina tobinii	359		
A0A0M0SHE9	A0A0M0SHE9	A0A0M0SHE9_9CYAN	unreviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groL groEL AMR41_23225	Hapalosiphon sp. MRB220	559	GO:0005524; GO:0005737; GO:0016887; GO:0042026; GO:0051082	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]
A0A0M0SLF9	A0A0M0SLF9	A0A0M0SLF9_9CYAN	unreviewed	Red carotenoid-binding protein	AMR41_18615	Hapalosiphon sp. MRB220	319	GO:0016037; GO:0018298; GO:0030089; GO:0031404	phycobilisome [GO:0030089]; chloride ion binding [GO:0031404]; light absorption [GO:0016037]; protein-chromophore linkage [GO:0018298]
A0A0M1JV43	A0A0M1JV43	A0A0M1JV43_9CYAN	unreviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groEL groL AM228_10585	Planktothricoides sp. SR001	544	GO:0005524; GO:0005737; GO:0016887; GO:0042026; GO:0051082	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]
A0A0M1JX39	A0A0M1JX39	A0A0M1JX39_9CYAN	unreviewed	Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8) (Polynucleotide phosphorylase) (PNPase)	pnp AM228_04915	Planktothricoides sp. SR001	717	GO:0000287; GO:0003723; GO:0004654; GO:0005737; GO:0006396; GO:0006402	cytoplasm [GO:0005737]; magnesium ion binding [GO:0000287]; polyribonucleotide nucleotidyltransferase activity [GO:0004654]; RNA binding [GO:0003723]; mRNA catabolic process [GO:0006402]; RNA processing [GO:0006396]
A0A0M2PV21	A0A0M2PV21	A0A0M2PV21_PROHO	unreviewed	Elongation factor Tu (EF-Tu)	tuf PROH_13990	Prochlorothrix hollandica PCC 9006 = CALU 1027	409	GO:0003746; GO:0003924; GO:0005525; GO:0005737	cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]
A0A0M4SHD6	A0A0M4SHD6	A0A0M4SHD6_9NOSO	unreviewed	Nucleoside diphosphate kinase (NDK) (NDP kinase) (EC 2.7.4.6) (Nucleoside-2-P kinase)	ndk ACX27_00075	Nostoc piscinale CENA21	149	GO:0004550; GO:0005524; GO:0005737; GO:0006183; GO:0006228; GO:0006241; GO:0046872	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; nucleoside diphosphate kinase activity [GO:0004550]; CTP biosynthetic process [GO:0006241]; GTP biosynthetic process [GO:0006183]; UTP biosynthetic process [GO:0006228]
A0A0N0JD05	A0A0N0JD05	A0A0N0JD05_9PROT	unreviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groEL groL IP80_08450	beta proteobacterium AAP65	549	GO:0005524; GO:0005737; GO:0016887; GO:0042026; GO:0051082	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]
A0A0N7Z3N3	A0A0N7Z3N3	A0A0N7Z3N3_9CYAN	unreviewed	Polyketide_cyc domain-containing protein	NIES2104_02930	Leptolyngbya sp. NIES-2104	235		
A0A0N7Z470	A0A0N7Z470	A0A0N7Z470_9CYAN	unreviewed	50S ribosomal protein L14	rplN rpl14 NIES2104_18010	Leptolyngbya sp. NIES-2104	121	GO:0003735; GO:0006412; GO:0015934; GO:0019843	large ribosomal subunit [GO:0015934]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A0N7Z4F8	A0A0N7Z4F8	A0A0N7Z4F8_9CYAN	unreviewed	Possible porin	NIES2104_25140	Leptolyngbya sp. NIES-2104	618	GO:0008643; GO:0015288; GO:0016021	integral component of membrane [GO:0016021]; porin activity [GO:0015288]; carbohydrate transport [GO:0008643]
A0A0N7Z574	A0A0N7Z574	A0A0N7Z574_9CYAN	unreviewed	Allophycocyanin alpha chain	NIES2104_46660	Leptolyngbya sp. NIES-2104	161	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A0P0MGP3	A0A0P0MGP3	A0A0P0MGP3_9BURK	unreviewed	Superoxide dismutase (EC 1.15.1.1)	sodB L103DPR2_01862	Limnohabitans sp. 103DPR2	193	GO:0004784; GO:0046872	metal ion binding [GO:0046872]; superoxide dismutase activity [GO:0004784]
A0A0P4UKB7	A0A0P4UKB7	A0A0P4UKB7_9CYAN	unreviewed	S-layer protein, putative	NIES2104_10420	Leptolyngbya sp. NIES-2104	631	GO:0008643; GO:0015288; GO:0016021	integral component of membrane [GO:0016021]; porin activity [GO:0015288]; carbohydrate transport [GO:0008643]
A0A0P4UKM5	A0A0P4UKM5	A0A0P4UKM5_9CYAN	unreviewed	Phycocyanin beta chain	NIES2104_19250	Leptolyngbya sp. NIES-2104	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A0P4UNE7	A0A0P4UNE7	A0A0P4UNE7_9CYAN	unreviewed	Possible carbon dioxide concentrating mechanism protein CcmK	NIES2104_22890	Leptolyngbya sp. NIES-2104	113	GO:0015977; GO:0031470	carboxysome [GO:0031470]; carbon fixation [GO:0015977]
A0A0P4UUE0	A0A0P4UUE0	A0A0P4UUE0_9CYAN	unreviewed	Photosystem I P700 chlorophyll a apoprotein A2 (EC 1.97.1.12) (PsaB)	psaB NIES2104_17170	Leptolyngbya sp. NIES-2104	738	GO:0000287; GO:0009055; GO:0009522; GO:0015979; GO:0016021; GO:0016168; GO:0018298; GO:0031676; GO:0051539	integral component of membrane [GO:0016021]; photosystem I [GO:0009522]; plasma membrane-derived thylakoid membrane [GO:0031676]; 4 iron, 4 sulfur cluster binding [GO:0051539]; chlorophyll binding [GO:0016168]; electron transfer activity [GO:0009055]; magnesium ion binding [GO:0000287]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A0P4UUI5	A0A0P4UUI5	A0A0P4UUI5_9CYAN	unreviewed	Urea ABC transporter, substrate binding protein UrtA	NIES2104_47500	Leptolyngbya sp. NIES-2104	439	GO:0006865	amino acid transport [GO:0006865]
A0A0P4UUY1	A0A0P4UUY1	A0A0P4UUY1_9CYAN	unreviewed	Thioredoxin	NIES2104_28550	Leptolyngbya sp. NIES-2104	122	GO:0006662; GO:0015035	protein disulfide oxidoreductase activity [GO:0015035]; glycerol ether metabolic process [GO:0006662]
A0A0P4UXT1	A0A0P4UXT1	A0A0P4UXT1_9CYAN	unreviewed	Methyl-accepting chemotaxis protein	NIES2104_33310	Leptolyngbya sp. NIES-2104	870	GO:0007165; GO:0016021	integral component of membrane [GO:0016021]; signal transduction [GO:0007165]
A0A0P4V0G6	A0A0P4V0G6	A0A0P4V0G6_9CYAN	unreviewed	30S ribosomal protein S10	rpsJ rps10 NIES2104_43820	Leptolyngbya sp. NIES-2104	105	GO:0000049; GO:0003735; GO:0005840; GO:0006412	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; translation [GO:0006412]
A0A0P4V359	A0A0P4V359	A0A0P4V359_9CYAN	unreviewed	ATP-dependent Clp protease, ATP-binding subunit ClpC / negative regulator of genetic competence clcC/mecB	NIES2104_58890	Leptolyngbya sp. NIES-2104	823	GO:0005524; GO:0005737; GO:0008233; GO:0016887	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; peptidase activity [GO:0008233]
A0A0Q4FS80	A0A0Q4FS80	A0A0Q4FS80_9SPHN	unreviewed	Fasciclin	ASE75_03870	Sphingomonas sp. Leaf17	184		
A0A0Q4RPN8	A0A0Q4RPN8	A0A0Q4RPN8_9BURK	unreviewed	Superoxide dismutase (EC 1.15.1.1)	ASF16_04240	Acidovorax sp. Leaf78	193	GO:0004784; GO:0046872	metal ion binding [GO:0046872]; superoxide dismutase activity [GO:0004784]
A0A0Q6TIQ1	A0A0Q6TIQ1	A0A0Q6TIQ1_9BURK	unreviewed	Phasin (PHA-granule associated protein)	ASC95_22640	Pelomonas sp. Root1217	184		
A0A0Q6VLB6	A0A0Q6VLB6	A0A0Q6VLB6_9ACTN	unreviewed	Cell division protein FtsZ	ftsZ ASC61_15350	Aeromicrobium sp. Root344	390	GO:0000917; GO:0003924; GO:0005525; GO:0005737; GO:0032153; GO:0043093; GO:0051258	cell division site [GO:0032153]; cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; division septum assembly [GO:0000917]; FtsZ-dependent cytokinesis [GO:0043093]; protein polymerization [GO:0051258]
A0A0Q6W7P5	A0A0Q6W7P5	A0A0Q6W7P5_9BURK	unreviewed	Uncharacterized protein	ASC91_20200	Pelomonas sp. Root1237	510		
A0A0Q6WDF0	A0A0Q6WDF0	A0A0Q6WDF0_9BURK	unreviewed	Superoxide dismutase (EC 1.15.1.1)	ASC91_10375	Pelomonas sp. Root1237	195	GO:0004784; GO:0046872	metal ion binding [GO:0046872]; superoxide dismutase activity [GO:0004784]
A0A0Q6WKV3	A0A0Q6WKV3	A0A0Q6WKV3_9BURK	unreviewed	Phasin (PHA-granule associated protein)	ASC91_04315	Pelomonas sp. Root1237	184		
A0A0Q7YZ34	A0A0Q7YZ34	A0A0Q7YZ34_9SPHN	unreviewed	Beta-Ig-H3/fasciclin	ASD67_20065	Sphingopyxis sp. Root1497	209		
A0A0Q8KK22	A0A0Q8KK22	A0A0Q8KK22_9RHIZ	unreviewed	LacI family transcriptional regulator	ASE05_12185	Mesorhizobium sp. Root172	315		
A0A0R0MCD1	A0A0R0MCD1	A0A0R0MCD1_9CYAN	unreviewed	DNA-directed RNA polymerase subunit gamma (RNAP subunit gamma) (EC 2.7.7.6) (RNA polymerase subunit gamma) (Transcriptase subunit gamma)	rpoC1 ASL19_03940	Cylindrospermopsis sp. CR12	625	GO:0000287; GO:0003677; GO:0003899; GO:0006351; GO:0008270	DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; magnesium ion binding [GO:0000287]; zinc ion binding [GO:0008270]; transcription, DNA-templated [GO:0006351]
A0A0R0MH59	A0A0R0MH59	A0A0R0MH59_9CYAN	unreviewed	XRE family transcriptional regulator	ASL19_05390	Cylindrospermopsis sp. CR12	242	GO:0000160; GO:0003677; GO:0006355	DNA binding [GO:0003677]; phosphorelay signal transduction system [GO:0000160]; regulation of transcription, DNA-templated [GO:0006355]
A0A0S2LMX8	A0A0S2LMX8	A0A0S2LMX8_MYCJU	unreviewed	ATP synthase subunit beta, chloroplastic (EC 7.1.2.2) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)	atpB	Mychonastes jurisii (Chlorophycean green alga) (Pseudodictyosphaerium jurisii)	481	GO:0005524; GO:0009535; GO:0045261; GO:0046933; GO:0046961	chloroplast thylakoid membrane [GO:0009535]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]; ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]
A0A0S3TTU0	A0A0S3TTU0	A0A0S3TTU0_9CYAN	unreviewed	Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70)	dnaK FIS3754_44760	Fischerella sp. NIES-3754	624	GO:0005524; GO:0006457; GO:0016887; GO:0051082	ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457]
A0A0S3TXA7	A0A0S3TXA7	A0A0S3TXA7_9CYAN	unreviewed	SLH domain-containing protein	LEP3755_03220	Leptolyngbya sp. NIES-3755	632	GO:0008643; GO:0015288; GO:0016021	integral component of membrane [GO:0016021]; porin activity [GO:0015288]; carbohydrate transport [GO:0008643]
A0A0S3TYL5	A0A0S3TYL5	A0A0S3TYL5_9CYAN	unreviewed	Methyl-accepting chemotaxis sensory transducer	LEP3755_07940	Leptolyngbya sp. NIES-3755	871	GO:0007165; GO:0016021	integral component of membrane [GO:0016021]; signal transduction [GO:0007165]
A0A0S3TZ70	A0A0S3TZ70	A0A0S3TZ70_9CYAN	unreviewed	BON domain-containing protein	LEP3755_09770	Leptolyngbya sp. NIES-3755	123		
A0A0S3U0R3	A0A0S3U0R3	A0A0S3U0R3_9CYAN	unreviewed	Microcompartments protein	LEP3755_15300	Leptolyngbya sp. NIES-3755	113	GO:0015977; GO:0031470	carboxysome [GO:0031470]; carbon fixation [GO:0015977]
A0A0S3U3P2	A0A0S3U3P2	A0A0S3U3P2_9CYAN	unreviewed	30S ribosomal protein S10	rpsJ rps10 LEP3755_25760	Leptolyngbya sp. NIES-3755	105	GO:0000049; GO:0003735; GO:0005840; GO:0006412	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; translation [GO:0006412]
A0A0S3U622	A0A0S3U622	A0A0S3U622_9CYAN	unreviewed	Thioredoxin	LEP3755_34450	Leptolyngbya sp. NIES-3755	122	GO:0006662; GO:0015035	protein disulfide oxidoreductase activity [GO:0015035]; glycerol ether metabolic process [GO:0006662]
A0A0S4K1T5	A0A0S4K1T5	A0A0S4K1T5_9BURK	unreviewed	Granule-associated protein	BN3177_5009	Janthinobacterium sp. CG23_2	228		
