Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 1,Coverage (%) Sample 2,Coverage (%) Sample 3,Coverage (%) Sample 4,Coverage (%) Sample 5,Coverage (%) Sample 6,Coverage (%) Sample 7,Coverage (%) Sample 8,Coverage (%) Sample 9,Coverage (%) Sample 10,Coverage (%) Sample 11,Coverage (%) Sample 12,Coverage (%) Sample 13,Coverage (%) Sample 14,Area Sample 1,Area Sample 2,Area Sample 3,Area Sample 4,Area Sample 5,Area Sample 6,Area Sample 7,Area Sample 8,Area Sample 9,Area Sample 10,Area Sample 11,Area Sample 12,Area Sample 13,Area Sample 14,#Peptides,#Unique,#Spec Sample 1,#Spec Sample 2,#Spec Sample 3,#Spec Sample 4,#Spec Sample 5,#Spec Sample 6,#Spec Sample 7,#Spec Sample 8,#Spec Sample 9,#Spec Sample 10,#Spec Sample 11,#Spec Sample 12,#Spec Sample 13,#Spec Sample 14,PTM,Avg. Mass,Description
354,215645,tr|B9A0N9|B9A0N9_SYNP6,214.72,44,0,2,5,5,0,5,7,3,29,12,31,12,0,0,,,,,,,,,1.8261E4,,6.5846E2,,,,17,2,0,3,4,4,0,4,3,1,28,8,28,7,0,0,Oxidation (M),53021,60 kDa chaperonin (Fragment) OS=Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1) OX=269084 GN=groEL PE=3 SV=1
354,10,P22879|CH60_SYNE7,214.72,40,0,2,4,4,0,4,6,3,26,11,28,10,0,0,,,,,,,,,1.8261E4,,6.5846E2,,,,17,2,0,3,4,4,0,4,3,1,28,8,28,7,0,0,Oxidation (M),57980,60 kDa chaperonin OS=Synechococcus elongatus (strain PCC 7942 / FACHB-805) OX=1140 GN=groL PE=3 SV=2
354,11,P12834|CH601_SYNP6,214.72,40,0,2,4,4,0,4,6,3,26,11,28,10,0,0,,,,,,,,,1.8261E4,,6.5846E2,,,,17,2,0,3,4,4,0,4,3,1,28,8,28,7,0,0,Oxidation (M),57980,60 kDa chaperonin 1 OS=Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1) OX=269084 GN=groL1 PE=3 SV=2
284,215835,tr|A0A2T1D797|A0A2T1D797_9CYAN,211.47,29,0,24,24,23,0,18,8,4,5,3,5,2,0,0,,4.1966E3,2.6685E4,7.8785E3,,5.6744E3,,,,,,,,,17,7,0,25,29,20,0,18,5,4,3,1,6,2,0,0,Deamidation (NQ); Oxidation (M),68223,Chaperone protein DnaK OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=dnaK PE=2 SV=1
742,215772,tr|A0A6H3J3J0|A0A6H3J3J0_9MICO,207.37,20,0,0,0,0,6,16,17,0,0,0,0,0,0,0,,,,,2.0321E3,9.2092E3,4.915E3,,,,,,,,14,5,0,0,0,0,6,18,20,0,0,0,0,0,0,0,Deamidation (NQ); Oxidation (M),106471,Fn3_like domain-containing protein OS=Cryobacterium sp. MDB2-10 OX=1259177 GN=E3O51_08015 PE=3 SV=1
742,215773,tr|A0A4R8WTW5|A0A4R8WTW5_9MICO,207.37,20,0,0,0,0,6,16,17,0,0,0,0,0,0,0,,,,,2.0321E3,9.2092E3,4.915E3,,,,,,,,14,5,0,0,0,0,6,18,20,0,0,0,0,0,0,0,Deamidation (NQ); Oxidation (M),106471,Fn3_like domain-containing protein OS=Cryobacterium sp. MDB2-A-2 OX=1259182 GN=E3O35_02090 PE=3 SV=1
18,219945,tr|A0A2T1DKV9|A0A2T1DKV9_9CYAN,206.45,49,0,28,35,35,28,33,28,29,47,10,44,39,0,0,,1.0772E5,1.7044E5,5.4052E5,3.1438E4,1.3912E5,1.0253E5,3.3945E3,3.3215E4,,3.0696E4,3.5642E2,,,7,4,0,31,52,71,11,42,38,39,48,5,25,15,0,0,Carboxymethyl; Deamidation (NQ); Oxidation (M),18005,Phycocyanin subunit beta OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_04085 PE=3 SV=1
82,217043,tr|A0A2T1DLH9|A0A2T1DLH9_9CYAN,205.24,31,0,30,31,30,4,26,30,0,0,0,0,0,0,0,,2.4042E5,1.076E5,3.1004E5,3.1849E3,1.2732E5,3.0828E4,,,,,,,,9,9,0,53,46,67,1,39,26,0,0,0,0,0,0,0,Deamidation (NQ); Oxidation (M),36889,Phosphate-binding protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=pstS PE=3 SV=1
6,217471,tr|A0A2T1DGA8|A0A2T1DGA8_9CYAN,204.83,59,13,39,45,40,29,32,32,21,44,20,44,32,0,8,,1.7163E5,3.5677E5,3.365E5,,4.2722E4,7.9013E3,,5.9216E3,,2.7524E4,1.693E2,,,11,3,1,66,68,72,19,45,36,10,38,10,39,9,0,8,Deamidation (NQ),13568,Fasciclin domain-containing protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_11485 PE=4 SV=1
318,215881,tr|A0A2T1DD61|A0A2T1DD61_9CYAN,202.46,18,0,14,13,14,0,7,12,0,3,0,3,0,0,0,,1.0884E5,1.0906E5,1.39E5,,3.0148E4,3.2741E4,,1.2677E2,,1.1945E3,,,,13,12,0,23,25,25,0,16,11,0,2,0,2,0,0,0,Deamidation (NQ),85304,Uncharacterized protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_15320 PE=4 SV=1
1044,215796,tr|A0A4R8WXY6|A0A4R8WXY6_9MICO,201.92,17,0,0,0,0,4,15,14,0,0,0,0,0,0,0,,,,,,1.0958E3,1.5826E3,,,,,,,,12,3,0,0,0,0,3,11,17,0,0,0,0,0,0,0,Deamidation (NQ); Oxidation (M),106086,Fn3_like domain-containing protein OS=Cryobacterium sp. MDT1-3 OX=1259184 GN=E3O19_05365 PE=3 SV=1
162,215601,tr|A0A2T1DTX6|A0A2T1DTX6_9CYAN,200.97,51,0,4,7,7,0,3,4,3,42,36,15,7,0,0,,,,,,,,,3.3229E4,6.8199E3,,,,,16,6,0,1,3,10,0,2,5,4,54,39,31,16,0,0,Deamidation (NQ); Oxidation (M),52217,ATP synthase subunit beta OS=filamentous cyanobacterium Phorm 46 OX=2107705 GN=atpD PE=3 SV=1
162,215602,tr|A0A2T1G0C5|A0A2T1G0C5_9CYAN,200.97,51,0,4,7,7,0,3,4,3,42,36,15,7,0,0,,,,,,,,,3.3229E4,6.8199E3,,,,,16,6,0,1,3,10,0,2,5,4,54,39,31,16,0,0,Deamidation (NQ); Oxidation (M),52217,ATP synthase subunit beta OS=filamentous cyanobacterium Phorm 6 OX=2107706 GN=atpD PE=3 SV=1
116,216386,tr|A0A2T1DL13|A0A2T1DL13_9CYAN,197.98,17,5,12,14,14,5,12,11,2,7,5,11,5,0,0,0,1.5172E5,3.3254E5,2.3663E5,6.4689E1,3.9125E4,1.867E4,,1.9699E3,2.3686E2,3.9565E3,0,,,10,7,6,33,44,48,3,21,24,1,3,4,12,3,0,0,Deamidation (NQ); Oxidation (M),67458,SLH domain-containing protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_04375 PE=3 SV=1
351,215681,tr|K9VTC0|K9VTC0_9CYAN,197.76,26,0,2,12,7,0,3,3,6,18,3,13,3,0,0,,,,,,,,,2.0252E3,,3.3172E2,,,,16,2,0,2,10,6,0,2,2,10,33,3,15,8,0,0,Oxidation (M),91758,ATPase AAA-2 domain protein OS=Crinalium epipsammum PCC 9333 OX=1173022 GN=Cri9333_0177 PE=3 SV=1
635,216608,tr|A0A6L9XWW8|A0A6L9XWW8_9MICO,196.92,28,0,12,0,13,22,18,23,0,0,0,0,0,0,0,,,,,4.408E3,2.9754E2,3.764E3,,,,,,,,8,2,0,5,0,3,13,8,21,0,0,0,0,0,0,0,Deamidation (NQ),43044,Sugar ABC transporter substrate-binding protein OS=Diaminobutyricibacter tongyongensis OX=1268043 GN=G3T36_06680 PE=4 SV=1
343,215812,tr|F5UCR3|F5UCR3_9CYAN,196.33,33,0,8,8,8,0,5,8,3,33,15,12,0,0,0,,,,,,,,,5.8574E3,,,,,,14,2,0,5,9,8,0,7,6,1,29,22,8,0,0,0,Oxidation (M),54380,ATP synthase subunit alpha OS=Microcoleus vaginatus FGP-2 OX=756067 GN=atpA PE=3 SV=1
3,217651,tr|A0A2T1DKV5|A0A2T1DKV5_9CYAN,195.57,65,0,64,64,65,36,62,64,25,48,0,46,26,0,0,,2.7602E4,4.2446E4,1.7813E5,1.1017E4,5.3244E4,4.5067E4,,1.2815E4,,9.1342E3,,,,9,4,0,39,52,109,12,63,43,9,53,0,39,16,0,0,Deamidation (NQ); Oxidation (M),17417,Phycocyanin subunit alpha OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=cpcA PE=3 SV=1
426,215818,tr|A0A2W7AHJ1|A0A2W7AHJ1_9CYAN,195.22,29,0,2,2,2,0,2,0,0,27,5,20,4,0,0,,,,,,,,,5.6409E4,1.4271E3,6.7118E3,,,,11,6,0,1,2,1,0,2,0,0,41,4,18,4,0,0,Deamidation (NQ); Oxidation (M),64011,S-layer protein OS=Leptolyngbya sp. OX=47254 GN=DCF22_07865 PE=3 SV=1
438,216302,tr|A0A2T1DFZ9|A0A2T1DFZ9_9CYAN,193.99,12,0,9,12,12,0,6,5,0,0,0,0,0,0,0,,7.7385E3,1.5286E4,2.419E4,,1.1847E4,1.6146E3,,,,,,,,8,4,0,17,13,22,0,12,7,0,0,0,0,0,0,0,Deamidation (NQ),101438,Insulinase family protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_10900 PE=4 SV=1
920,215786,tr|K9VXH7|K9VXH7_9CYAN,192.29,19,0,0,1,0,0,0,0,0,16,0,3,0,0,0,,,,,,,,,1.3383E4,,,,,,14,8,0,0,1,0,0,0,0,0,29,0,5,0,0,0,Deamidation (NQ),126344,Phycobiliprotein ApcE OS=Crinalium epipsammum PCC 9333 OX=1173022 GN=Cri9333_1937 PE=3 SV=1
545,218098,tr|A0A7G8VV73|A0A7G8VV73_9BURK,190.49,42,0,6,14,14,28,26,38,0,0,6,0,0,0,0,,6.4723E2,5.2123E3,4.7417E3,1.4566E4,6.0151E3,3.6459E4,,,3.461E2,,,,,7,4,0,2,3,6,11,5,28,0,0,2,0,0,0,0,Deamidation (NQ),22791,OmpA family protein OS=Variovorax sp. PAMC28562 OX=2762323 GN=H7F36_12200 PE=4 SV=1
352,216516,tr|A0A2T1D3W8|A0A2T1D3W8_9CYAN,189.72,16,0,13,10,14,0,10,6,0,0,0,0,0,0,0,,9.6642E4,5.0252E4,1.5067E5,,2.1801E4,3.7625E3,,,,,,,,10,10,0,28,18,29,0,12,5,0,0,0,0,0,0,0,,79589,Phosphodiesterase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_25075 PE=4 SV=1
413,215967,tr|A0A2G4F432|A0A2G4F432_9CYAN,187.30,26,0,3,8,2,0,3,8,0,22,12,16,3,0,0,,,,,,,,,3.6494E3,1.4315E3,4.2099E3,,,,13,2,0,4,14,3,0,3,8,0,20,5,18,1,0,0,Deamidation (NQ); Oxidation (M),67591,Chaperone protein DnaK OS=Tychonema bourrellyi FEM_GT703 OX=2040638 GN=dnaK PE=2 SV=1
408,215918,tr|A0A2T1DKF9|A0A2T1DKF9_9CYAN,186.41,25,0,10,18,12,0,7,8,0,16,0,10,0,0,0,,5.3025E3,1.2068E4,5.3478E3,,1.2662E3,2.1691E3,,1.0685E3,,2.025E3,,,,14,3,0,13,26,8,0,6,4,0,12,0,9,0,0,0,Deamidation (NQ); Oxidation (M),77564,Polyribonucleotide nucleotidyltransferase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=pnp PE=3 SV=1
582,215945,tr|A0A2G4EYE5|A0A2G4EYE5_9CYAN,186.10,45,0,4,8,19,0,3,8,0,24,8,19,3,0,0,,,,,,,,,2.219E3,,,,,,12,2,0,1,3,5,0,3,3,0,19,2,11,7,0,0,Oxidation (M),44034,30S ribosomal protein S1 OS=Tychonema bourrellyi FEM_GT703 OX=2040638 GN=CP500_015965 PE=4 SV=1
479,216703,tr|A0A2W7AIS6|A0A2W7AIS6_9CYAN,185.59,26,0,26,19,26,0,22,16,0,0,0,0,0,0,0,,1.1954E4,3.5993E3,2.0942E4,,1.0398E4,1.7934E3,,,,,,,,7,3,0,12,9,19,0,17,8,0,0,0,0,0,0,0,Deamidation (NQ),45431,S-layer homology domain-containing protein OS=Leptolyngbya sp. OX=47254 GN=DCF22_08990 PE=4 SV=1
541,215856,tr|A0A0D9S2F0|A0A0D9S2F0_CHLSB,185.04,29,0,0,0,0,6,5,3,22,12,15,3,13,0,0,,,,,1.333E2,3.1455E2,6.4889E2,9.6542E3,1.1233E3,2.4542E3,0,5.8808E2,,,9,4,0,0,0,0,5,3,1,19,5,15,1,8,0,0,Deamidation (NQ); Oxidation (M),50378,IF rod domain-containing protein OS=Chlorocebus sabaeus OX=60711 GN=KRT14 PE=3 SV=1
541,215864,tr|A0A2K6E2S6|A0A2K6E2S6_MACNE,185.04,28,0,0,0,0,6,5,3,22,12,15,3,12,0,0,,,,,1.333E2,3.1455E2,6.4889E2,9.6542E3,1.1233E3,2.4542E3,0,5.8808E2,,,9,4,0,0,0,0,5,3,1,19,5,15,1,8,0,0,Deamidation (NQ); Oxidation (M),51819,IF rod domain-containing protein OS=Macaca nemestrina OX=9545 GN=KRT14 PE=3 SV=1
541,215865,tr|A0A2R9CHA8|A0A2R9CHA8_PANPA,185.04,28,0,0,0,0,6,5,3,22,12,15,3,12,0,0,,,,,1.333E2,3.1455E2,6.4889E2,9.6542E3,1.1233E3,2.4542E3,0,5.8808E2,,,9,4,0,0,0,0,5,3,1,19,5,15,1,8,0,0,Deamidation (NQ); Oxidation (M),51927,IF rod domain-containing protein OS=Pan paniscus OX=9597 GN=KRT14 PE=3 SV=1
541,215866,tr|A0A096P5N3|A0A096P5N3_PAPAN,185.04,28,0,0,0,0,6,5,3,22,12,15,3,12,0,0,,,,,1.333E2,3.1455E2,6.4889E2,9.6542E3,1.1233E3,2.4542E3,0,5.8808E2,,,9,4,0,0,0,0,5,3,1,19,5,15,1,8,0,0,Deamidation (NQ); Oxidation (M),51815,IF rod domain-containing protein OS=Papio anubis OX=9555 GN=KRT14 PE=3 SV=1
541,215867,tr|H2NVQ7|H2NVQ7_PONAB,185.04,28,0,0,0,0,6,5,3,22,12,15,3,12,0,0,,,,,1.333E2,3.1455E2,6.4889E2,9.6542E3,1.1233E3,2.4542E3,0,5.8808E2,,,9,4,0,0,0,0,5,3,1,19,5,15,1,8,0,0,Deamidation (NQ); Oxidation (M),51865,IF rod domain-containing protein OS=Pongo abelii OX=9601 PE=3 SV=1
541,215868,tr|A0A2K5ZWJ8|A0A2K5ZWJ8_MANLE,185.04,28,0,0,0,0,6,5,3,22,12,15,3,12,0,0,,,,,1.333E2,3.1455E2,6.4889E2,9.6542E3,1.1233E3,2.4542E3,0,5.8808E2,,,9,4,0,0,0,0,5,3,1,19,5,15,1,8,0,0,Deamidation (NQ); Oxidation (M),51849,IF rod domain-containing protein OS=Mandrillus leucophaeus OX=9568 GN=KRT14 PE=3 SV=1
541,215912,tr|A0A2K5JFW5|A0A2K5JFW5_COLAP,185.04,28,0,0,0,0,6,5,3,22,12,15,3,12,0,0,,,,,1.333E2,3.1455E2,6.4889E2,9.6542E3,1.1233E3,2.4542E3,0,5.8808E2,,,9,4,0,0,0,0,5,3,1,19,5,15,1,8,0,0,Deamidation (NQ); Oxidation (M),51963,IF rod domain-containing protein OS=Colobus angolensis palliatus OX=336983 GN=KRT14 PE=3 SV=1
541,215983,tr|A0A2K6LG66|A0A2K6LG66_RHIBE,185.04,28,0,0,0,0,6,5,3,22,12,15,3,12,0,0,,,,,1.333E2,3.1455E2,6.4889E2,9.6542E3,1.1233E3,2.4542E3,0,5.8808E2,,,9,4,0,0,0,0,5,3,1,19,5,15,1,8,0,0,Deamidation (NQ); Oxidation (M),51328,IF rod domain-containing protein OS=Rhinopithecus bieti OX=61621 GN=KRT14 PE=3 SV=1
401,216035,tr|A0A5R9J9Q4|A0A5R9J9Q4_9PROT,184.05,34,0,21,19,19,6,10,24,2,2,2,2,0,0,0,,3.4135E3,1.0235E3,3.0311E3,,1.1466E3,7.6566E3,,,,,,,,14,6,0,16,11,11,4,6,22,5,2,2,1,0,0,0,Oxidation (M),57773,60 kDa chaperonin OS=Lichenicoccus roseus OX=2683649 GN=groL PE=3 SV=1
383,215933,tr|E8WVD9|E8WVD9_GRATM,183.47,32,0,18,15,17,6,11,21,0,2,0,5,0,0,0,,2.0238E3,,1.1903E3,,6.6085E2,9.3157E2,,,,,,,,13,2,0,18,12,18,4,4,25,0,1,0,2,0,0,0,Oxidation (M),58689,60 kDa chaperonin OS=Granulicella tundricola (strain ATCC BAA-1859 / DSM 23138 / MP5ACTX9) OX=1198114 GN=groL PE=3 SV=1
51,220051,tr|A0A2T1DG79|A0A2T1DG79_9CYAN,183.33,73,18,73,73,73,0,73,73,27,54,0,61,18,0,0,0,8.2528E4,9.39E4,4.9832E4,,1.5018E5,1.7231E4,1.0639E3,3.2715E3,,4.092E3,9.2881E2,,,7,3,2,48,54,60,0,57,28,6,6,0,11,5,0,0,Deamidation (NQ); Acetylation (Protein N-term),10932,10 kDa chaperonin OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=groS PE=3 SV=1
457,215926,tr|K9VWJ1|K9VWJ1_9CYAN,182.57,38,0,2,4,4,0,4,2,2,38,0,22,0,0,0,,,,,,,,,1.3013E4,,4.9644E3,,,,15,8,0,1,5,4,0,2,2,1,33,0,19,0,0,0,Oxidation (M),58689,60 kDa chaperonin OS=Crinalium epipsammum PCC 9333 OX=1173022 GN=groL PE=3 SV=1
694,215816,tr|K9VI22|K9VI22_9CYAN,182.35,22,0,2,2,0,0,0,0,0,19,12,5,0,0,0,,,,,,,,,5.8691E3,1.7974E3,,,,,10,4,0,2,3,0,0,0,0,0,14,15,12,0,0,0,Oxidation (M),77770,Polyribonucleotide nucleotidyltransferase OS=Oscillatoria nigro-viridis PCC 7112 OX=179408 GN=pnp PE=3 SV=1
694,215839,tr|A0A2T1FIY8|A0A2T1FIY8_9CYAN,182.35,22,0,2,2,0,0,0,0,0,19,12,5,0,0,0,,,,,,,,,5.8691E3,1.7974E3,,,,,10,4,0,2,3,0,0,0,0,0,14,15,12,0,0,0,Oxidation (M),77838,Polyribonucleotide nucleotidyltransferase OS=filamentous cyanobacterium Phorm 6 OX=2107706 GN=pnp PE=3 SV=1
272,216455,tr|A0A5B8NLT6|A0A5B8NLT6_9CHRO,181.75,15,0,8,10,10,0,9,7,2,15,5,13,2,0,0,,3.6343E2,1.678E4,5.948E3,,,,,,,1.0648E3,,,,12,2,0,9,16,20,0,10,7,1,22,5,24,2,0,0,Deamidation (NQ); Oxidation (M),57654,60 kDa chaperonin OS=Euhalothece natronophila Z-M001 OX=522448 GN=groL PE=3 SV=1
