"","Accession","n","Protein.Group","Description","codes","B1","B2","B3","B5","B6","B4"
"29","tr|A0A0M7B8A4|A0A0M7B8A4_9RHOB",2,1604,"30S ribosomal protein S19 OS=Jannaschia seosinensis OX=313367 GN=rpsS PE=3 SV=1",313367,5,NA,14,NA,NA,NA
"30","tr|A0A0N7Z3N3|A0A0N7Z3N3_9CYAN",2,2432,"Polyketide_cyc domain-containing protein OS=Leptolyngbya sp. NIES-2104 OX=1552121 GN=NIES2104_02930 PE=4 SV=1",1552121,NA,NA,4,NA,NA,NA
"31","tr|A0A0P1EWF0|A0A0P1EWF0_9RHOB",2,1604,"30S ribosomal protein S19 OS=Thalassobacter stenotrophicus OX=266809 GN=rpsS PE=3 SV=1",266809,5,NA,14,NA,NA,NA
"32","tr|A0A0P4UKM5|A0A0P4UKM5_9CYAN",11,85,"Phycocyanin beta chain OS=Leptolyngbya sp. NIES-2104 OX=1552121 GN=NIES2104_19250 PE=3 SV=1",1552121,18,22,41,31,27,13
"33","tr|A0A0P4UTS2|A0A0P4UTS2_9CYAN",5,659,"Uncharacterized protein OS=Leptolyngbya sp. NIES-2104 OX=1552121 GN=NIES2104_52680 PE=4 SV=1",1552121,9,13,15,5,6,NA
"34","tr|A0A0P4UUI5|A0A0P4UUI5_9CYAN",9,667,"Urea ABC transporter  substrate binding protein UrtA OS=Leptolyngbya sp. NIES-2104 OX=1552121 GN=NIES2104_47500 PE=4 SV=1",1552121,4,15,13,2,3,NA
"35","tr|A0A0Q5N3P9|A0A0Q5N3P9_9MICO",2,2990,"D-ribose ABC transporter substrate-binding protein OS=Frigoribacterium sp. Leaf172 OX=1736285 GN=ASF89_12985 PE=4 SV=1",1736285,3,NA,2,NA,NA,NA
"36","tr|A0A0Q6TVW7|A0A0Q6TVW7_9BURK",2,2231,"RNA-binding protein OS=Pelomonas sp. Root1217 OX=1736430 GN=ASC95_10405 PE=4 SV=1",1736430,NA,NA,NA,6,3,NA
"37","tr|A0A0Q6W7P5|A0A0Q6W7P5_9BURK",4,2220,"Uncharacterized protein OS=Pelomonas sp. Root1237 OX=1736434 GN=ASC91_20200 PE=4 SV=1",1736434,NA,2,NA,NA,3,NA
"38","tr|A0A0Q6XGQ2|A0A0Q6XGQ2_9BURK",2,2231,"RNA-binding protein OS=Pelomonas sp. Root1237 OX=1736434 GN=ASC91_02850 PE=4 SV=1",1736434,NA,NA,NA,6,3,NA
"39","tr|A0A0Q7B1F9|A0A0Q7B1F9_9BURK",2,2231,"RNA-binding protein OS=Pelomonas sp. Root405 OX=1736529 GN=ASC81_08435 PE=4 SV=1",1736529,NA,NA,NA,6,3,NA
"40","tr|A0A0Q8GMU3|A0A0Q8GMU3_9BURK",2,2231,"RNA-binding protein OS=Pelomonas sp. Root662 OX=1736580 GN=ASD88_08435 PE=4 SV=1",1736580,NA,NA,NA,6,3,NA
"41","tr|A0A0R0MCD1|A0A0R0MCD1_9CYAN",3,1249,"DNA-directed RNA polymerase subunit gamma OS=Cylindrospermopsis sp. CR12 OX=1747196 GN=rpoC1 PE=3 SV=1",1747196,NA,6,NA,NA,NA,NA
"42","tr|A0A0R0MH59|A0A0R0MH59_9CYAN",3,1142,"XRE family transcriptional regulator OS=Cylindrospermopsis sp. CR12 OX=1747196 GN=ASL19_05390 PE=4 SV=1",1747196,NA,9,NA,NA,NA,NA
"43","tr|A0A0R2PU64|A0A0R2PU64_9ACTN",4,1689,"Cold-shock protein OS=Actinobacteria bacterium BACL4 MAG-121022-bin9 OX=1655582 GN=ABR74_02715 PE=4 SV=1",1655582,2,NA,NA,6,5,6
"44","tr|A0A0R2SUD7|A0A0R2SUD7_9ACTN",4,1689,"Cold-shock protein OS=Actinobacteria bacterium BACL4 MAG-120920-bin74 OX=1655609 GN=ABS07_03185 PE=4 SV=1",1655609,2,NA,NA,6,5,6
"45","tr|A0A0R2U501|A0A0R2U501_9ACTN",4,1689,"Cold-shock protein OS=Actinobacteria bacterium BACL4 MAG-120507-bin0 OX=1655610 GN=ABS08_05565 PE=4 SV=1",1655610,2,NA,NA,6,5,6
"46","tr|A0A0S3UE72|A0A0S3UE72_9CYAN",4,828,"ABC transporter solute-binding protein OS=Leptolyngbya sp. NIES-3755 OX=1752064 GN=LEP3755_63070 PE=3 SV=1",1752064,11,10,11,6,NA,NA
"47","tr|A0A0T2KRR3|A0A0T2KRR3_9MICO",3,1916,"ATP synthase subunit beta OS=Microbacterium sp. Root61 OX=1736570 GN=atpD PE=3 SV=1",1736570,NA,NA,NA,NA,8,NA
"48","tr|A0A0T7BTJ7|A0A0T7BTJ7_9CYAN",4,1101,"Carbon dioxide-concentrating protein CcmK OS=Calothrix sp. 336/3 OX=1337936 GN=IJ00_15090 PE=3 SV=1",1337936,NA,5,3,NA,NA,NA
"49","tr|A0A0U3SWK4|A0A0U3SWK4_9BACT",2,2408,"SusC/RagA family TonB-linked outer membrane protein OS=Hymenobacter sedentarius OX=1411621 GN=AUC43_07310 PE=3 SV=1",1411621,NA,NA,NA,2,6,NA
"50","tr|A0A0U5EQ97|A0A0U5EQ97_9PROT",5,1327,"Outer membrane protein OS=Acetobacter senegalensis OX=446692 GN=ompA PE=4 SV=1",446692,3,4,8,4,6,NA
"51","tr|A0A0X8P181|A0A0X8P181_ALCXX",3,1977,"DNA-directed RNA polymerase subunit beta' OS=Alcaligenes xylosoxydans xylosoxydans OX=85698 GN=rpoC PE=3 SV=1",85698,NA,4,NA,NA,NA,NA
"52","tr|A0A0X8WU20|A0A0X8WU20_9CYAN",2,2670,"30S ribosomal protein S8 OS=Leptolyngbya sp. O-77 OX=1080068 GN=rpsH PE=3 SV=1",1080068,2,2,NA,NA,NA,NA
"53","tr|A0A0X8WUT4|A0A0X8WUT4_9CYAN",3,2018,"Uncharacterized protein OS=Leptolyngbya sp. O-77 OX=1080068 GN=O77CONTIG1_02689 PE=4 SV=1",1080068,NA,5,4,NA,NA,NA
"54","tr|A0A0X8WW16|A0A0X8WW16_9CYAN",9,268,"Allophycocyanin alpha chain OS=Leptolyngbya sp. O-77 OX=1080068 GN=apcA PE=3 SV=1",1080068,10,28,25,12,16,8
"55","tr|A0A126P6U4|A0A126P6U4_9BACT",2,2455,"Uncharacterized protein OS=Hymenobacter sp. PAMC 26628 OX=1484118 GN=AXW84_04365 PE=4 SV=1",1484118,NA,NA,NA,2,6,NA
"56","tr|A0A126PDU0|A0A126PDU0_9BACT",3,1765,"Uncharacterized protein OS=Hymenobacter sp. PAMC 26628 OX=1484118 GN=AXW84_13055 PE=3 SV=1",1484118,NA,NA,2,NA,8,6
"57","tr|A0A126PGJ2|A0A126PGJ2_9BACT",2,2568,"SusC/RagA family TonB-linked outer membrane protein OS=Hymenobacter sp. PAMC 26628 OX=1484118 GN=AXW84_16125 PE=3 SV=1",1484118,NA,NA,NA,2,5,NA
"58","tr|A0A149U4L0|A0A149U4L0_9PROT",5,1327,"OmpA-like domain-containing protein OS=Acetobacter senegalensis OX=446692 GN=AD948_05525 PE=4 SV=1",446692,3,4,8,4,6,NA
"59","tr|A0A158GWR1|A0A158GWR1_9BURK",2,2990,"Periplasmic binding protein/LacI transcriptional regulator OS=Caballeronia udeis OX=1232866 GN=AWB69_03467 PE=4 SV=1",1232866,3,NA,2,NA,NA,NA
"60","tr|A0A177JPL3|A0A177JPL3_SPHYA",3,2608,"TonB-dependent receptor OS=Sphingobium yanoikuyae OX=13690 GN=AX777_14210 PE=3 SV=1",13690,NA,NA,NA,2,3,3
"61","tr|A0A181CCF1|A0A181CCF1_9PROT",2,1604,"30S ribosomal protein S19 OS=Komagataeibacter rhaeticus OX=215221 GN=rpsS PE=3 SV=1",215221,5,NA,14,NA,NA,NA
"62","tr|A0A199NZ11|A0A199NZ11_XANCT",8,1239,"Fasciclin OS=Xanthomonas translucens pv. poae OX=227946 GN=A6R73_05185 PE=4 SV=1",227946,5,4,4,3,2,5
"63","tr|A0A1B1TX37|A0A1B1TX37_9SYNE",3,1142,"DNA-binding response regulator OS=Synechococcus sp. PCC 7117 OX=195498 GN=AWQ22_05010 PE=4 SV=1",195498,NA,9,NA,NA,NA,NA
"64","tr|A0A1B3NF14|A0A1B3NF14_9BRAD",2,1604,"30S ribosomal protein S19 OS=Bosea sp. RAC05 OX=1842539 GN=rpsS PE=3 SV=1",1842539,5,NA,14,NA,NA,NA
"65","tr|A0A1B7V516|A0A1B7V516_9NOST",4,1101,"Carbon dioxide-concentrating protein CcmK OS=Anabaena sp. LE011-02 OX=1710892 GN=AN482_09790 PE=3 SV=1",1710892,NA,5,3,NA,NA,NA
"66","tr|A0A1B7VJ23|A0A1B7VJ23_9NOST",4,1101,"Carbon dioxide-concentrating protein CcmK OS=Anabaena sp. WA113 OX=1710889 GN=AN488_15830 PE=3 SV=1",1710889,NA,5,3,NA,NA,NA
"67","tr|A0A1B7VXJ4|A0A1B7VXJ4_APHFL",4,1101,"Carbon dioxide-concentrating protein CcmK OS=Aphanizomenon flos-aquae LD13 OX=1710894 GN=AN481_09025 PE=3 SV=1",1710894,NA,5,3,NA,NA,NA
"68","tr|A0A1B7W8C1|A0A1B7W8C1_9NOST",4,1101,"Carbon dioxide-concentrating protein CcmK OS=Anabaena sp. MDT14b OX=1710886 GN=AN485_18765 PE=3 SV=1",1710886,NA,5,3,NA,NA,NA
"69","tr|A0A1B7WKL8|A0A1B7WKL8_9NOST",4,1101,"Carbon dioxide-concentrating protein CcmK OS=Anabaena sp. CRKS33 OX=1710888 GN=AN487_09745 PE=3 SV=1",1710888,NA,5,3,NA,NA,NA
"70","tr|A0A1B7WNC1|A0A1B7WNC1_9NOST",4,2059,"Translation initiation factor IF-1 OS=Anabaena sp. CRKS33 OX=1710888 GN=infA PE=3 SV=1",1710888,4,4,3,NA,NA,NA
"71","tr|A0A1B7X781|A0A1B7X781_APHFL",4,1101,"Carbon dioxide-concentrating protein CcmK OS=Aphanizomenon flos-aquae WA102 OX=1710896 GN=AN484_02945 PE=3 SV=1",1710896,NA,5,3,NA,NA,NA
"72","tr|A0A1C0VF05|A0A1C0VF05_9NOSO",5,1491,"Nucleoside diphosphate kinase OS=Nostoc sp. MBR 210 OX=1881015 GN=ndk PE=3 SV=1",1881015,NA,3,2,NA,2,NA
"73","tr|A0A1D2P358|A0A1D2P358_9CYAN",4,1101,"Carbon dioxide-concentrating protein CcmK OS=Scytonema millei VB511283 OX=1245923 GN=QH73_003670 PE=3 SV=1",1245923,NA,5,3,NA,NA,NA
"74","tr|A0A1D8QTP7|A0A1D8QTP7_9PROT",5,1327,"Outer membrane protein OS=Acetobacter ascendens OX=481146 GN=A4S02_01970 PE=4 SV=1",481146,3,4,8,4,6,NA
"75","tr|A0A1E2WEG2|A0A1E2WEG2_9NOSO",4,1101,"Carbon dioxide-concentrating protein CcmK OS=Nostoc sp. KVJ20 OX=457944 GN=A4S05_17575 PE=3 SV=1",457944,NA,5,3,NA,NA,NA
"76","tr|A0A1E4M6G6|A0A1E4M6G6_9MICO",7,1646,"Cold-shock protein OS=Leifsonia sp. SCN 70-46 OX=1660107 GN=ABT06_14890 PE=4 SV=1",1660107,2,NA,2,4,2,NA
"77","tr|A0A1E5QMT7|A0A1E5QMT7_9CYAN",3,2018,"Uncharacterized protein OS=Desertifilum sp. IPPAS B-1220 OX=1781255 GN=BH720_06910 PE=4 SV=1",1781255,NA,5,4,NA,NA,NA
"78","tr|A0A1F5V1H1|A0A1F5V1H1_FRAXR",2,2700,"Chaperone protein DnaK OS=Fraserbacteria sp. (strain RBG_16_55_9) OX=1817864 GN=dnaK PE=2 SV=1",1817864,NA,2,2,NA,NA,NA
"79","tr|A0A1G6QBA1|A0A1G6QBA1_9BURK",2,2990,"Erythritol transport system substrate-binding protein OS=Paraburkholderia lycopersici OX=416944 GN=SAMN05421548_111140 PE=4 SV=1",416944,3,NA,2,NA,NA,NA
"80","tr|A0A1G8SBC7|A0A1G8SBC7_9ACTN",5,2090,"40-residue YVTN family beta-propeller repeat-containing protein OS=Frankineae bacterium MT45 OX=1882833 GN=SAMN05444157_2538 PE=4 SV=1",1882833,2,NA,2,2,2,4
"81","tr|A0A1H0IR06|A0A1H0IR06_9RHOB",2,1604,"30S ribosomal protein S19 OS=Sulfitobacter litoralis OX=335975 GN=rpsS PE=3 SV=1",335975,5,NA,14,NA,NA,NA
"82","tr|A0A1H0WUC7|A0A1H0WUC7_9SPHI",3,1994,"OmpA-OmpF porin  OOP family OS=Mucilaginibacter sp. OK268 OX=1881048 GN=SAMN05428975_3912 PE=4 SV=1",1881048,NA,NA,NA,2,4,6
"83","tr|A0A1H2S568|A0A1H2S568_9RHOB",2,1604,"30S ribosomal protein S19 OS=Sulfitobacter pontiacus OX=60137 GN=rpsS PE=3 SV=1",60137,5,NA,14,NA,NA,NA
"84","tr|A0A1H4K5K6|A0A1H4K5K6_9BACT",2,2611,"Threonine dehydrogenase OS=Terriglobus roseus OX=392734 GN=SAMN05443244_1020 PE=4 SV=1",392734,5,NA,3,NA,NA,NA
"85","tr|A0A1H9GR64|A0A1H9GR64_9PSEU",2,1947,"Uncharacterized protein OS=Lentzea albida OX=65499 GN=SAMN04488000_103239 PE=4 SV=1",65499,NA,NA,NA,3,NA,NA
"86","tr|A0A1I1P311|A0A1I1P311_9BRAD",2,1604,"30S ribosomal protein S19 OS=Bosea sp. DSM 18164 OX=1881058 GN=rpsS PE=3 SV=1",1881058,5,NA,14,NA,NA,NA
"87","tr|A0A1I3RWB9|A0A1I3RWB9_9RHOB",2,1604,"30S ribosomal protein S19 OS=Jannaschia pohangensis OX=390807 GN=rpsS PE=3 SV=1",390807,5,NA,14,NA,NA,NA
"88","tr|A0A1I4GRT2|A0A1I4GRT2_9PROT",3,1977,"DNA-directed RNA polymerase subunit beta' OS=Nitrosomonas aestuarii OX=52441 GN=rpoC PE=3 SV=1",52441,NA,4,NA,NA,NA,NA
"89","tr|A0A1I6A7Q2|A0A1I6A7Q2_9BACT",4,1275,"TonB-linked outer membrane protein  SusC/RagA family OS=Siccationidurans arizonensis OX=1227077 GN=SAMN04515668_3395 PE=3 SV=1",1227077,NA,NA,2,6,11,6
"90","tr|A0A1I6MDK2|A0A1I6MDK2_9BACT",5,963,"TonB-dependent Receptor Plug Domain OS=Granulicella pectinivorans OX=474950 GN=SAMN05421771_2368 PE=4 SV=1",474950,3,NA,7,4,12,8
"91","tr|A0A1I6MZV6|A0A1I6MZV6_9BACT",4,1381,"Cold-shock DNA-binding protein family OS=Granulicella pectinivorans OX=474950 GN=SAMN05421771_4053 PE=4 SV=1",474950,4,NA,6,9,4,NA
"92","tr|A0A1I6XLN6|A0A1I6XLN6_9GAMM",2,2461,"Uncaracterized surface protein containing fasciclin (FAS1) repeats OS=Pseudoalteromonas sp. DSM 26666 OX=1761892 GN=SAMN04487870_0256 PE=4 SV=1",1761892,2,NA,5,NA,NA,NA
"93","tr|A0A1J1LRW1|A0A1J1LRW1_9CYAN",3,2845,"UDP-glucuronate decarboxylase OS=Planktothrix tepida PCC 9214 OX=671072 GN=PL9214650381 PE=3 SV=1",671072,NA,2,NA,NA,NA,NA
"94","tr|A0A1J5QWQ0|A0A1J5QWQ0_9ZZZZ",4,1668,"Multiple sugar-binding periplasmic receptor ChvE OS=mine drainage metagenome OX=410659 GN=chvE_1 PE=4 SV=1",410659,NA,NA,3,5,6,5
"95","tr|A0A1L9QQ97|A0A1L9QQ97_9CYAN",3,2018,"Uncharacterized protein OS=Roseofilum reptotaenium AO1-A OX=1925591 GN=BI308_14745 PE=4 SV=1",1925591,NA,5,4,NA,NA,NA
"96","tr|A0A1M3PFE5|A0A1M3PFE5_9PROT",6,1189,"Superoxide dismutase OS=Rhodospirillales bacterium 70-18 OX=1895826 GN=BGP12_18950 PE=3 SV=1",1895826,6,4,5,4,6,3
"97","tr|A0A1M5A620|A0A1M5A620_9RHIZ",3,2113,"Inositol transport system substrate-binding protein OS=Kaistia soli DSM 19436 OX=1122133 GN=SAMN02745157_2026 PE=4 SV=1",1122133,NA,NA,NA,6,NA,2
"98","tr|A0A1M7TLD9|A0A1M7TLD9_9RHOB",2,1604,"30S ribosomal protein S19 OS=Oceanicella actignis OX=1189325 GN=rpsS PE=3 SV=1",1189325,5,NA,14,NA,NA,NA
"99","tr|A0A1N6G5Y4|A0A1N6G5Y4_9BURK",2,2990,"Monosaccharide ABC transporter substrate-binding protein  CUT2 family OS=Paraburkholderia phenazinium OX=60549 GN=SAMN05444165_0583 PE=4 SV=1",60549,3,NA,2,NA,NA,NA
"100","tr|A0A1N7DB13|A0A1N7DB13_9SPHI",3,1994,"OmpA-OmpF porin  OOP family OS=Mucilaginibacter lappiensis OX=354630 GN=SAMN05421821_11120 PE=4 SV=1",354630,NA,NA,NA,2,4,6
"101","tr|A0A1N7MP93|A0A1N7MP93_9RHOB",2,1604,"30S ribosomal protein S19 OS=Gemmobacter megaterium OX=1086013 GN=rpsS PE=3 SV=1",1086013,5,NA,14,NA,NA,NA
"102","tr|A0A1Q3QQP8|A0A1Q3QQP8_9BACT",3,2149,"Uncharacterized protein OS=Acidobacteriales bacterium 59-55 OX=1895690 GN=BGO25_19250 PE=4 SV=1",1895690,NA,NA,NA,2,2,8
"103","tr|A0A1Q3QU28|A0A1Q3QU28_9BACT",4,1381,"Cold-shock protein OS=Acidobacteriales bacterium 59-55 OX=1895690 GN=BGO25_07570 PE=4 SV=1",1895690,4,NA,6,9,4,NA
"104","tr|A0A1Q4AWD3|A0A1Q4AWD3_9MICO",7,1646,"Cold-shock protein OS=Micrococcales bacterium 70-64 OX=1895789 GN=BGO97_14890 PE=4 SV=1",1895789,2,NA,2,4,2,NA
"105","tr|A0A1Q4E8F9|A0A1Q4E8F9_9SPHN",2,2708,"DUF3597 domain-containing protein OS=Sphingomonas sp. 67-41 OX=1895850 GN=BGP17_04715 PE=4 SV=1",1895850,3,NA,3,NA,NA,NA
"106","tr|A0A1Q6Y8N4|A0A1Q6Y8N4_9CHLR",2,2649,"Dihydroxyacetone kinase subunit DhaK OS=Ktedonobacter sp. 13_2_20CM_53_11 OX=1805233 GN=AUH05_16755 PE=4 SV=1",1805233,3,5,NA,NA,NA,NA
"107","tr|A0A1Q8Z7N5|A0A1Q8Z7N5_9CYAN",2,2868,"DNA-directed RNA polymerase subunit alpha OS=Leptolyngbya sp. 'hensonii' OX=1922337 GN=rpoA PE=3 SV=1",1922337,NA,2,NA,NA,NA,NA
"108","tr|A0A1Q8Z933|A0A1Q8Z933_9CYAN",2,2928,"Chaperone protein DnaK OS=Leptolyngbya sp. 'hensonii' OX=1922337 GN=dnaK PE=2 SV=1",1922337,NA,NA,NA,NA,2,NA
"109","tr|A0A1S6PVI2|A0A1S6PVI2_9PHYC",2,2630,"Major capsid protein OS=Prymnesium parvum DNA virus BW1 OX=1962447 PE=4 SV=1",1962447,NA,NA,NA,NA,4,3
"110","tr|A0A1T2BAZ0|A0A1T2BAZ0_9RHOB",2,1604,"30S ribosomal protein S19 OS=Thioclava sp. DLFJ5-1 OX=1915314 GN=rpsS PE=3 SV=1",1915314,5,NA,14,NA,NA,NA
"111","tr|A0A1U7HZN4|A0A1U7HZN4_9CHRO",7,1133,"Carbon dioxide-concentrating protein CcmK OS=Chroogloeocystis siderophila 5.2 s.c.1 OX=247279 GN=NIES1031_00490 PE=3 SV=1",247279,2,8,6,NA,2,NA
"112","tr|A0A1U7J2T5|A0A1U7J2T5_9CYAN",5,1744,"30S ribosomal protein S19 OS=Phormidium tenue NIES-30 OX=549789 GN=rpsS PE=3 SV=1",549789,3,3,7,NA,NA,NA
"113","tr|A0A1V9F312|A0A1V9F312_9BACT",4,1772,"Uncharacterized protein OS=Niastella yeongjuensis OX=354355 GN=A4H97_24135 PE=4 SV=1",354355,3,5,4,4,NA,NA
"114","tr|A0A1X7DIP4|A0A1X7DIP4_9ACTN",4,2205,"Elongation factor Tu OS=Streptomyces sp. Amel2xC10 OX=1305826 GN=tuf PE=3 SV=1",1305826,NA,NA,NA,2,NA,NA
"115","tr|A0A1Y2QJ72|A0A1Y2QJ72_9SPHN",2,2708,"DUF3597 domain-containing protein OS=Sphingomonas sp. IBVSS2 OX=1985172 GN=CAP40_07375 PE=4 SV=1",1985172,3,NA,3,NA,NA,NA
"116","tr|A0A1Y3LS94|A0A1Y3LS94_9MICC",6,289,"Cobalamin adenosyltransferase OS=Arthrobacter agilis OX=37921 GN=B8W73_12030 PE=4 SV=1",37921,16,5,19,16,29,26
"117","tr|A0A1Z3HQM9|A0A1Z3HQM9_9CYAN",3,2612,"Phage shock protein A OS=Halomicronema hongdechloris C2206 OX=1641165 GN=XM38_035200 PE=3 SV=1",1641165,NA,2,NA,2,NA,NA
"118","tr|A0A1Z4IRL3|A0A1Z4IRL3_9CYAN",3,1142,"Two component transcriptional regulator OS=Scytonema sp. HK-05 OX=1137095 GN=SAMD00079811_22340 PE=4 SV=1",1137095,NA,9,NA,NA,NA,NA
"119","tr|A0A1Z4IVG8|A0A1Z4IVG8_9CYAN",4,1101,"Microcompartment protein OS=Scytonema sp. HK-05 OX=1137095 GN=SAMD00079811_36510 PE=3 SV=1",1137095,NA,5,3,NA,NA,NA
