"","Protein.Group","Accession","Description","probe_name","n_spec","codes"
"31",4,"tr|A0A2W7ANV7|A0A2W7ANV7_9CYAN","60 kDa chaperonin OS=Leptolyngbya sp. OX=47254 GN=groL PE=3 SV=1","K3",18,47254
"32",4,"tr|A0A2W7ANV7|A0A2W7ANV7_9CYAN","60 kDa chaperonin OS=Leptolyngbya sp. OX=47254 GN=groL PE=3 SV=1","K4",87,47254
"33",4,"tr|A0A2W7ANV7|A0A2W7ANV7_9CYAN","60 kDa chaperonin OS=Leptolyngbya sp. OX=47254 GN=groL PE=3 SV=1","K5",35,47254
"34",43,"tr|A0A2T1GDY1|A0A2T1GDY1_9CYAN","60 kDa chaperonin OS=Chamaesiphon polymorphus CCALA 037 OX=2107692 GN=groL PE=3 SV=1","B1",20,2107692
"35",43,"tr|A0A2T1GDY1|A0A2T1GDY1_9CYAN","60 kDa chaperonin OS=Chamaesiphon polymorphus CCALA 037 OX=2107692 GN=groL PE=3 SV=1","B2",30,2107692
"36",43,"tr|A0A2T1GDY1|A0A2T1GDY1_9CYAN","60 kDa chaperonin OS=Chamaesiphon polymorphus CCALA 037 OX=2107692 GN=groL PE=3 SV=1","B3",33,2107692
"37",43,"tr|A0A2T1GDY1|A0A2T1GDY1_9CYAN","60 kDa chaperonin OS=Chamaesiphon polymorphus CCALA 037 OX=2107692 GN=groL PE=3 SV=1","B4",1,2107692
"38",43,"tr|A0A2T1GDY1|A0A2T1GDY1_9CYAN","60 kDa chaperonin OS=Chamaesiphon polymorphus CCALA 037 OX=2107692 GN=groL PE=3 SV=1","B5",14,2107692
"39",43,"tr|A0A2T1GDY1|A0A2T1GDY1_9CYAN","60 kDa chaperonin OS=Chamaesiphon polymorphus CCALA 037 OX=2107692 GN=groL PE=3 SV=1","B6",18,2107692
"40",43,"tr|A0A2T1GDY1|A0A2T1GDY1_9CYAN","60 kDa chaperonin OS=Chamaesiphon polymorphus CCALA 037 OX=2107692 GN=groL PE=3 SV=1","K1",23,2107692
"41",43,"tr|A0A2T1GDY1|A0A2T1GDY1_9CYAN","60 kDa chaperonin OS=Chamaesiphon polymorphus CCALA 037 OX=2107692 GN=groL PE=3 SV=1","K2",62,2107692
"42",43,"tr|A0A2T1GDY1|A0A2T1GDY1_9CYAN","60 kDa chaperonin OS=Chamaesiphon polymorphus CCALA 037 OX=2107692 GN=groL PE=3 SV=1","K3",16,2107692
"43",43,"tr|A0A2T1GDY1|A0A2T1GDY1_9CYAN","60 kDa chaperonin OS=Chamaesiphon polymorphus CCALA 037 OX=2107692 GN=groL PE=3 SV=1","K4",51,2107692
"44",43,"tr|A0A2T1GDY1|A0A2T1GDY1_9CYAN","60 kDa chaperonin OS=Chamaesiphon polymorphus CCALA 037 OX=2107692 GN=groL PE=3 SV=1","K5",25,2107692
"45",42,"tr|A0A2T1DD05|A0A2T1DD05_9CYAN","S-layer protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_15860 PE=3 SV=1","B1",54,1920490
"46",42,"tr|A0A2T1DD05|A0A2T1DD05_9CYAN","S-layer protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_15860 PE=3 SV=1","B2",85,1920490
"47",42,"tr|A0A2T1DD05|A0A2T1DD05_9CYAN","S-layer protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_15860 PE=3 SV=1","B3",91,1920490
"48",42,"tr|A0A2T1DD05|A0A2T1DD05_9CYAN","S-layer protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_15860 PE=3 SV=1","B4",1,1920490
"49",42,"tr|A0A2T1DD05|A0A2T1DD05_9CYAN","S-layer protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_15860 PE=3 SV=1","B5",11,1920490
"50",42,"tr|A0A2T1DD05|A0A2T1DD05_9CYAN","S-layer protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_15860 PE=3 SV=1","B6",24,1920490
"51",42,"tr|A0A2T1DD05|A0A2T1DD05_9CYAN","S-layer protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_15860 PE=3 SV=1","K1",1,1920490
"52",42,"tr|A0A2T1DD05|A0A2T1DD05_9CYAN","S-layer protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_15860 PE=3 SV=1","K2",5,1920490
"53",42,"tr|A0A2T1DD05|A0A2T1DD05_9CYAN","S-layer protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_15860 PE=3 SV=1","K3",3,1920490
"54",42,"tr|A0A2T1DD05|A0A2T1DD05_9CYAN","S-layer protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_15860 PE=3 SV=1","K4",13,1920490
"55",42,"tr|A0A2T1DD05|A0A2T1DD05_9CYAN","S-layer protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_15860 PE=3 SV=1","K5",2,1920490
"56",134,"tr|A0A2T1DJD4|A0A2T1DJD4_9CYAN","60 kDa chaperonin OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=groL PE=3 SV=1","B1",23,1920490
"57",134,"tr|A0A2T1DJD4|A0A2T1DJD4_9CYAN","60 kDa chaperonin OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=groL PE=3 SV=1","B2",35,1920490
"58",134,"tr|A0A2T1DJD4|A0A2T1DJD4_9CYAN","60 kDa chaperonin OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=groL PE=3 SV=1","B3",40,1920490
"59",134,"tr|A0A2T1DJD4|A0A2T1DJD4_9CYAN","60 kDa chaperonin OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=groL PE=3 SV=1","B4",0,1920490
"60",134,"tr|A0A2T1DJD4|A0A2T1DJD4_9CYAN","60 kDa chaperonin OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=groL PE=3 SV=1","B5",12,1920490
"61",134,"tr|A0A2T1DJD4|A0A2T1DJD4_9CYAN","60 kDa chaperonin OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=groL PE=3 SV=1","B6",20,1920490
"62",134,"tr|A0A2T1DJD4|A0A2T1DJD4_9CYAN","60 kDa chaperonin OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=groL PE=3 SV=1","K1",2,1920490
"63",134,"tr|A0A2T1DJD4|A0A2T1DJD4_9CYAN","60 kDa chaperonin OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=groL PE=3 SV=1","K2",22,1920490
"64",134,"tr|A0A2T1DJD4|A0A2T1DJD4_9CYAN","60 kDa chaperonin OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=groL PE=3 SV=1","K3",4,1920490
"65",134,"tr|A0A2T1DJD4|A0A2T1DJD4_9CYAN","60 kDa chaperonin OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=groL PE=3 SV=1","K4",22,1920490
"66",134,"tr|A0A2T1DJD4|A0A2T1DJD4_9CYAN","60 kDa chaperonin OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=groL PE=3 SV=1","K5",3,1920490
"67",180,"tr|A0A2T1D4W7|A0A2T1D4W7_9CYAN","Alkaline phosphatase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_24155 PE=4 SV=1","B1",37,1920490
"68",180,"tr|A0A2T1D4W7|A0A2T1D4W7_9CYAN","Alkaline phosphatase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_24155 PE=4 SV=1","B2",24,1920490
"69",180,"tr|A0A2T1D4W7|A0A2T1D4W7_9CYAN","Alkaline phosphatase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_24155 PE=4 SV=1","B3",57,1920490
"70",180,"tr|A0A2T1D4W7|A0A2T1D4W7_9CYAN","Alkaline phosphatase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_24155 PE=4 SV=1","B4",1,1920490
"71",180,"tr|A0A2T1D4W7|A0A2T1D4W7_9CYAN","Alkaline phosphatase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_24155 PE=4 SV=1","B5",28,1920490
"72",180,"tr|A0A2T1D4W7|A0A2T1D4W7_9CYAN","Alkaline phosphatase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_24155 PE=4 SV=1","B6",10,1920490
"73",180,"tr|A0A2T1D4W7|A0A2T1D4W7_9CYAN","Alkaline phosphatase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_24155 PE=4 SV=1","K1",0,1920490
"74",180,"tr|A0A2T1D4W7|A0A2T1D4W7_9CYAN","Alkaline phosphatase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_24155 PE=4 SV=1","K2",0,1920490
"75",180,"tr|A0A2T1D4W7|A0A2T1D4W7_9CYAN","Alkaline phosphatase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_24155 PE=4 SV=1","K3",0,1920490
"76",180,"tr|A0A2T1D4W7|A0A2T1D4W7_9CYAN","Alkaline phosphatase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_24155 PE=4 SV=1","K4",0,1920490
"77",180,"tr|A0A2T1D4W7|A0A2T1D4W7_9CYAN","Alkaline phosphatase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_24155 PE=4 SV=1","K5",0,1920490
"78",354,"tr|B9A0N9|B9A0N9_SYNP6","60 kDa chaperonin (Fragment) OS=Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1) OX=269084 GN=groEL PE=3 SV=1","B1",3,269084
"79",354,"tr|B9A0N9|B9A0N9_SYNP6","60 kDa chaperonin (Fragment) OS=Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1) OX=269084 GN=groEL PE=3 SV=1","B2",4,269084
"80",354,"tr|B9A0N9|B9A0N9_SYNP6","60 kDa chaperonin (Fragment) OS=Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1) OX=269084 GN=groEL PE=3 SV=1","B3",4,269084
"81",354,"tr|B9A0N9|B9A0N9_SYNP6","60 kDa chaperonin (Fragment) OS=Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1) OX=269084 GN=groEL PE=3 SV=1","B4",0,269084
"82",354,"tr|B9A0N9|B9A0N9_SYNP6","60 kDa chaperonin (Fragment) OS=Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1) OX=269084 GN=groEL PE=3 SV=1","B5",4,269084
"83",354,"tr|B9A0N9|B9A0N9_SYNP6","60 kDa chaperonin (Fragment) OS=Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1) OX=269084 GN=groEL PE=3 SV=1","B6",3,269084
"84",354,"tr|B9A0N9|B9A0N9_SYNP6","60 kDa chaperonin (Fragment) OS=Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1) OX=269084 GN=groEL PE=3 SV=1","K1",1,269084
"85",354,"tr|B9A0N9|B9A0N9_SYNP6","60 kDa chaperonin (Fragment) OS=Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1) OX=269084 GN=groEL PE=3 SV=1","K2",28,269084
"86",354,"tr|B9A0N9|B9A0N9_SYNP6","60 kDa chaperonin (Fragment) OS=Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1) OX=269084 GN=groEL PE=3 SV=1","K3",8,269084
"87",354,"tr|B9A0N9|B9A0N9_SYNP6","60 kDa chaperonin (Fragment) OS=Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1) OX=269084 GN=groEL PE=3 SV=1","K4",28,269084
"88",354,"tr|B9A0N9|B9A0N9_SYNP6","60 kDa chaperonin (Fragment) OS=Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1) OX=269084 GN=groEL PE=3 SV=1","K5",7,269084
"89",354,"P22879|CH60_SYNE7","60 kDa chaperonin OS=Synechococcus elongatus (strain PCC 7942 / FACHB-805) OX=1140 GN=groL PE=3 SV=2","B1",3,1140
"90",354,"P22879|CH60_SYNE7","60 kDa chaperonin OS=Synechococcus elongatus (strain PCC 7942 / FACHB-805) OX=1140 GN=groL PE=3 SV=2","B2",4,1140
"91",354,"P22879|CH60_SYNE7","60 kDa chaperonin OS=Synechococcus elongatus (strain PCC 7942 / FACHB-805) OX=1140 GN=groL PE=3 SV=2","B3",4,1140
"92",354,"P22879|CH60_SYNE7","60 kDa chaperonin OS=Synechococcus elongatus (strain PCC 7942 / FACHB-805) OX=1140 GN=groL PE=3 SV=2","B4",0,1140
"93",354,"P22879|CH60_SYNE7","60 kDa chaperonin OS=Synechococcus elongatus (strain PCC 7942 / FACHB-805) OX=1140 GN=groL PE=3 SV=2","B5",4,1140
"94",354,"P22879|CH60_SYNE7","60 kDa chaperonin OS=Synechococcus elongatus (strain PCC 7942 / FACHB-805) OX=1140 GN=groL PE=3 SV=2","B6",3,1140
"95",354,"P22879|CH60_SYNE7","60 kDa chaperonin OS=Synechococcus elongatus (strain PCC 7942 / FACHB-805) OX=1140 GN=groL PE=3 SV=2","K1",1,1140
"96",354,"P22879|CH60_SYNE7","60 kDa chaperonin OS=Synechococcus elongatus (strain PCC 7942 / FACHB-805) OX=1140 GN=groL PE=3 SV=2","K2",28,1140
"97",354,"P22879|CH60_SYNE7","60 kDa chaperonin OS=Synechococcus elongatus (strain PCC 7942 / FACHB-805) OX=1140 GN=groL PE=3 SV=2","K3",8,1140
"98",354,"P22879|CH60_SYNE7","60 kDa chaperonin OS=Synechococcus elongatus (strain PCC 7942 / FACHB-805) OX=1140 GN=groL PE=3 SV=2","K4",28,1140
"99",354,"P22879|CH60_SYNE7","60 kDa chaperonin OS=Synechococcus elongatus (strain PCC 7942 / FACHB-805) OX=1140 GN=groL PE=3 SV=2","K5",7,1140
"100",354,"P12834|CH601_SYNP6","60 kDa chaperonin 1 OS=Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1) OX=269084 GN=groL1 PE=3 SV=2","B1",3,269084
"101",354,"P12834|CH601_SYNP6","60 kDa chaperonin 1 OS=Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1) OX=269084 GN=groL1 PE=3 SV=2","B2",4,269084
"102",354,"P12834|CH601_SYNP6","60 kDa chaperonin 1 OS=Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1) OX=269084 GN=groL1 PE=3 SV=2","B3",4,269084
"103",354,"P12834|CH601_SYNP6","60 kDa chaperonin 1 OS=Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1) OX=269084 GN=groL1 PE=3 SV=2","B4",0,269084
"104",354,"P12834|CH601_SYNP6","60 kDa chaperonin 1 OS=Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1) OX=269084 GN=groL1 PE=3 SV=2","B5",4,269084
"105",354,"P12834|CH601_SYNP6","60 kDa chaperonin 1 OS=Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1) OX=269084 GN=groL1 PE=3 SV=2","B6",3,269084
"106",354,"P12834|CH601_SYNP6","60 kDa chaperonin 1 OS=Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1) OX=269084 GN=groL1 PE=3 SV=2","K1",1,269084
"107",354,"P12834|CH601_SYNP6","60 kDa chaperonin 1 OS=Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1) OX=269084 GN=groL1 PE=3 SV=2","K2",28,269084
"108",354,"P12834|CH601_SYNP6","60 kDa chaperonin 1 OS=Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1) OX=269084 GN=groL1 PE=3 SV=2","K3",8,269084
"109",354,"P12834|CH601_SYNP6","60 kDa chaperonin 1 OS=Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1) OX=269084 GN=groL1 PE=3 SV=2","K4",28,269084
"110",354,"P12834|CH601_SYNP6","60 kDa chaperonin 1 OS=Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1) OX=269084 GN=groL1 PE=3 SV=2","K5",7,269084
"111",284,"tr|A0A2T1D797|A0A2T1D797_9CYAN","Chaperone protein DnaK OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=dnaK PE=2 SV=1","B1",25,1920490
"112",284,"tr|A0A2T1D797|A0A2T1D797_9CYAN","Chaperone protein DnaK OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=dnaK PE=2 SV=1","B2",29,1920490
"113",284,"tr|A0A2T1D797|A0A2T1D797_9CYAN","Chaperone protein DnaK OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=dnaK PE=2 SV=1","B3",20,1920490
"114",284,"tr|A0A2T1D797|A0A2T1D797_9CYAN","Chaperone protein DnaK OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=dnaK PE=2 SV=1","B4",0,1920490
"115",284,"tr|A0A2T1D797|A0A2T1D797_9CYAN","Chaperone protein DnaK OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=dnaK PE=2 SV=1","B5",18,1920490
"116",284,"tr|A0A2T1D797|A0A2T1D797_9CYAN","Chaperone protein DnaK OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=dnaK PE=2 SV=1","B6",5,1920490
"117",284,"tr|A0A2T1D797|A0A2T1D797_9CYAN","Chaperone protein DnaK OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=dnaK PE=2 SV=1","K1",4,1920490
"118",284,"tr|A0A2T1D797|A0A2T1D797_9CYAN","Chaperone protein DnaK OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=dnaK PE=2 SV=1","K2",3,1920490
"119",284,"tr|A0A2T1D797|A0A2T1D797_9CYAN","Chaperone protein DnaK OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=dnaK PE=2 SV=1","K3",1,1920490
"120",284,"tr|A0A2T1D797|A0A2T1D797_9CYAN","Chaperone protein DnaK OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=dnaK PE=2 SV=1","K4",6,1920490
"121",284,"tr|A0A2T1D797|A0A2T1D797_9CYAN","Chaperone protein DnaK OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=dnaK PE=2 SV=1","K5",2,1920490
"122",742,"tr|A0A6H3J3J0|A0A6H3J3J0_9MICO","Fn3_like domain-containing protein OS=Cryobacterium sp. MDB2-10 OX=1259177 GN=E3O51_08015 PE=3 SV=1","B1",0,1259177
"123",742,"tr|A0A6H3J3J0|A0A6H3J3J0_9MICO","Fn3_like domain-containing protein OS=Cryobacterium sp. MDB2-10 OX=1259177 GN=E3O51_08015 PE=3 SV=1","B2",0,1259177
"124",742,"tr|A0A6H3J3J0|A0A6H3J3J0_9MICO","Fn3_like domain-containing protein OS=Cryobacterium sp. MDB2-10 OX=1259177 GN=E3O51_08015 PE=3 SV=1","B3",0,1259177
"125",742,"tr|A0A6H3J3J0|A0A6H3J3J0_9MICO","Fn3_like domain-containing protein OS=Cryobacterium sp. MDB2-10 OX=1259177 GN=E3O51_08015 PE=3 SV=1","B4",6,1259177
"126",742,"tr|A0A6H3J3J0|A0A6H3J3J0_9MICO","Fn3_like domain-containing protein OS=Cryobacterium sp. MDB2-10 OX=1259177 GN=E3O51_08015 PE=3 SV=1","B5",18,1259177
"127",742,"tr|A0A6H3J3J0|A0A6H3J3J0_9MICO","Fn3_like domain-containing protein OS=Cryobacterium sp. MDB2-10 OX=1259177 GN=E3O51_08015 PE=3 SV=1","B6",20,1259177
"128",742,"tr|A0A6H3J3J0|A0A6H3J3J0_9MICO","Fn3_like domain-containing protein OS=Cryobacterium sp. MDB2-10 OX=1259177 GN=E3O51_08015 PE=3 SV=1","K1",0,1259177
"129",742,"tr|A0A6H3J3J0|A0A6H3J3J0_9MICO","Fn3_like domain-containing protein OS=Cryobacterium sp. MDB2-10 OX=1259177 GN=E3O51_08015 PE=3 SV=1","K2",0,1259177
"130",742,"tr|A0A6H3J3J0|A0A6H3J3J0_9MICO","Fn3_like domain-containing protein OS=Cryobacterium sp. MDB2-10 OX=1259177 GN=E3O51_08015 PE=3 SV=1","K3",0,1259177
"131",742,"tr|A0A6H3J3J0|A0A6H3J3J0_9MICO","Fn3_like domain-containing protein OS=Cryobacterium sp. MDB2-10 OX=1259177 GN=E3O51_08015 PE=3 SV=1","K4",0,1259177
"132",742,"tr|A0A6H3J3J0|A0A6H3J3J0_9MICO","Fn3_like domain-containing protein OS=Cryobacterium sp. MDB2-10 OX=1259177 GN=E3O51_08015 PE=3 SV=1","K5",0,1259177
"133",742,"tr|A0A4R8WTW5|A0A4R8WTW5_9MICO","Fn3_like domain-containing protein OS=Cryobacterium sp. MDB2-A-2 OX=1259182 GN=E3O35_02090 PE=3 SV=1","B1",0,1259182
"134",742,"tr|A0A4R8WTW5|A0A4R8WTW5_9MICO","Fn3_like domain-containing protein OS=Cryobacterium sp. MDB2-A-2 OX=1259182 GN=E3O35_02090 PE=3 SV=1","B2",0,1259182
"135",742,"tr|A0A4R8WTW5|A0A4R8WTW5_9MICO","Fn3_like domain-containing protein OS=Cryobacterium sp. MDB2-A-2 OX=1259182 GN=E3O35_02090 PE=3 SV=1","B3",0,1259182
"136",742,"tr|A0A4R8WTW5|A0A4R8WTW5_9MICO","Fn3_like domain-containing protein OS=Cryobacterium sp. MDB2-A-2 OX=1259182 GN=E3O35_02090 PE=3 SV=1","B4",6,1259182
"137",742,"tr|A0A4R8WTW5|A0A4R8WTW5_9MICO","Fn3_like domain-containing protein OS=Cryobacterium sp. MDB2-A-2 OX=1259182 GN=E3O35_02090 PE=3 SV=1","B5",18,1259182
"138",742,"tr|A0A4R8WTW5|A0A4R8WTW5_9MICO","Fn3_like domain-containing protein OS=Cryobacterium sp. MDB2-A-2 OX=1259182 GN=E3O35_02090 PE=3 SV=1","B6",20,1259182
