yourlist:M202108194ABAA9BC7178C81CEBC9459510EDDEA313EEFEN	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology IDs	Gene ontology (GO)
A0A0D8ZX60	A0A0D8ZX60	A0A0D8ZX60_9CYAN	unreviewed	Phycocyanin	UH38_10430	Aliterella atlantica CENA595	174	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A0F2R967	A0A0F2R967	A0A0F2R967_9PSED	unreviewed	Ferritin	VR76_00045 VR76_09035	Pseudomonas sp. BRH_c35	156	GO:0008199; GO:0016722	ferric iron binding [GO:0008199]; oxidoreductase activity, acting on metal ions [GO:0016722]
A0A0F6RNY4	A0A0F6RNY4	A0A0F6RNY4_MICAE	unreviewed	Phycocyanin beta chain	MYAER_4261	Microcystis aeruginosa NIES-2549	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A0G2HN27	A0A0G2HN27	A0A0G2HN27_9SYNE	unreviewed	Allophycocyanin	TE42_00285	Candidatus Synechococcus spongiarum SP3	161	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A0G8ARQ8	A0A0G8ARQ8	A0A0G8ARQ8_9SYNE	unreviewed	Glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.-)	TQ37_09035	Candidatus Synechococcus spongiarum 15L	343	GO:0006006; GO:0016620; GO:0050661; GO:0051287	NAD binding [GO:0051287]; NADP binding [GO:0050661]; oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor [GO:0016620]; glucose metabolic process [GO:0006006]
A0A0K0TNF2	A0A0K0TNF2	A0A0K0TNF2_9CYAN	unreviewed	Phycocyanin alpha (Fragment)	cpcA	uncultured Rivularia sp.	78	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A0K0TNF6	A0A0K0TNF6	A0A0K0TNF6_9CYAN	unreviewed	Phycocyanin alpha (Fragment)	cpcA	uncultured Rivularia sp.	78	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A0K0TNG1	A0A0K0TNG1	A0A0K0TNG1_9CYAN	unreviewed	Phycocyanin alpha (Fragment)	cpcA	uncultured Rivularia sp.	78	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A0K0TNH8	A0A0K0TNH8	A0A0K0TNH8_9CYAN	unreviewed	Phycocyanin alpha (Fragment)	cpcA	uncultured Rivularia sp.	78	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A0K1S4J3	A0A0K1S4J3	A0A0K1S4J3_9CHRO	unreviewed	Phycocyanin beta chain	VL20_4027	Microcystis panniformis FACHB-1757	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A0K2M4F4	A0A0K2M4F4	A0A0K2M4F4_9NOST	unreviewed	DNA recombination-mediator protein A	AA650_22185	Anabaena sp. WA102	167		
A0A0K6HLZ5	A0A0K6HLZ5	A0A0K6HLZ5_9RHOB	unreviewed	Mannose-binding protein/fructose-binding protein/ribose-binding protein	Ga0061067_101124	Pannonibacter indicus	339		
A0A0L0IVU1	A0A0L0IVU1	A0A0L0IVU1_9RHOB	unreviewed	Sugar ABC transporter	APZ00_14785	Pannonibacter phragmitetus	339		
A0A0L6HXT0	A0A0L6HXT0	A0A0L6HXT0_9MICO	unreviewed	Elongation factor Tu (EF-Tu)	tuf AKH00_09655	Microbacterium sp. GCS4	396	GO:0003746; GO:0003924; GO:0005525; GO:0005737	cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]
A0A0M0SKZ7	A0A0M0SKZ7	A0A0M0SKZ7_9CYAN	unreviewed	Elongation factor Ts (EF-Ts)	tsf AMR41_17445	Hapalosiphon sp. MRB220	219	GO:0003746; GO:0005737	cytoplasm [GO:0005737]; translation elongation factor activity [GO:0003746]
A0A0M3V6N3	A0A0M3V6N3	A0A0M3V6N3_9NOSO	unreviewed	ATP synthase gamma chain (ATP synthase F1 sector gamma subunit) (F-ATPase gamma subunit)	atpG atpC ACX27_28850	Nostoc piscinale CENA21	315	GO:0005524; GO:0031676; GO:0045261; GO:0046933	plasma membrane-derived thylakoid membrane [GO:0031676]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]; ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]
A0A0P4URQ6	A0A0P4URQ6	A0A0P4URQ6_9CYAN	unreviewed	Bicarbonate transporter, bicarbonate binding protein	NIES2104_37020	Leptolyngbya sp. NIES-2104	453	GO:0006811	ion transport [GO:0006811]
A0A0P4UWA1	A0A0P4UWA1	A0A0P4UWA1_9CYAN	unreviewed	Uncharacterized protein	NIES2104_34890	Leptolyngbya sp. NIES-2104	284		
A0A0P6W955	A0A0P6W955	A0A0P6W955_9RHIZ	unreviewed	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	eno ABB55_25195	Prosthecomicrobium hirschii	425	GO:0000015; GO:0000287; GO:0004634; GO:0005576; GO:0006096; GO:0009986	cell surface [GO:0009986]; extracellular region [GO:0005576]; phosphopyruvate hydratase complex [GO:0000015]; magnesium ion binding [GO:0000287]; phosphopyruvate hydratase activity [GO:0004634]; glycolytic process [GO:0006096]
A0A0P6XRH6	A0A0P6XRH6	A0A0P6XRH6_9CHLR	unreviewed	Uncharacterized protein	SE18_12025	Herpetosiphon geysericola	239		
A0A0P7ZRX6	A0A0P7ZRX6	A0A0P7ZRX6_9CYAN	unreviewed	Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8) (Polynucleotide phosphorylase) (PNPase)	pnp HLUCCA11_06660	Phormidesmis priestleyi Ana	717	GO:0000287; GO:0003723; GO:0004654; GO:0005737; GO:0006396; GO:0006402	cytoplasm [GO:0005737]; magnesium ion binding [GO:0000287]; polyribonucleotide nucleotidyltransferase activity [GO:0004654]; RNA binding [GO:0003723]; mRNA catabolic process [GO:0006402]; RNA processing [GO:0006396]
A0A0Q6R5S0	A0A0Q6R5S0	A0A0Q6R5S0_9MICO	unreviewed	Cold-shock protein	ASC54_08850	Yonghaparkia sp. Root332	67	GO:0003676; GO:0005737	cytoplasm [GO:0005737]; nucleic acid binding [GO:0003676]
A0A0Q6R845	A0A0Q6R845	A0A0Q6R845_9MICO	unreviewed	Sugar ABC transporter substrate-binding protein	ASC54_01330	Yonghaparkia sp. Root332	451		
A0A0Q7S9D4	A0A0Q7S9D4	A0A0Q7S9D4_9CAUL	unreviewed	OmpA-like domain-containing protein (Fragment)	ASD25_10625	Brevundimonas sp. Root1423	414	GO:0006811; GO:0009279; GO:0015288; GO:0046930	cell outer membrane [GO:0009279]; pore complex [GO:0046930]; porin activity [GO:0015288]; ion transport [GO:0006811]
A0A0Q9KIR3	A0A0Q9KIR3	A0A0Q9KIR3_9MICO	unreviewed	PHB domain-containing protein	ASG74_12710	Knoellia sp. Soil729	364	GO:0016020	membrane [GO:0016020]
A0A0Q9SRE7	A0A0Q9SRE7	A0A0Q9SRE7_9MICO	unreviewed	PHB domain-containing protein	ASG91_02805	Phycicoccus sp. Soil802	385	GO:0016020	membrane [GO:0016020]
A0A0Q9SU91	A0A0Q9SU91	A0A0Q9SU91_9MICO	unreviewed	PHB domain-containing protein	ASG95_10675	Phycicoccus sp. Soil803	385	GO:0016020	membrane [GO:0016020]
A0A0R0M6C2	A0A0R0M6C2	A0A0R0M6C2_9CYAN	unreviewed	Bifunctional purine biosynthesis protein PurH [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (AICAR transformylase); IMP cyclohydrolase (EC 3.5.4.10) (ATIC) (IMP synthase) (Inosinicase)]	purH ASL19_05640	Cylindrospermopsis sp. CR12	516	GO:0003937; GO:0004643; GO:0006189	IMP cyclohydrolase activity [GO:0003937]; phosphoribosylaminoimidazolecarboxamide formyltransferase activity [GO:0004643]; 'de novo' IMP biosynthetic process [GO:0006189]
A0A0R0MAX4	A0A0R0MAX4	A0A0R0MAX4_9CYAN	unreviewed	DNA recombination-mediator protein A	ASL19_02140	Cylindrospermopsis sp. CR12	167	GO:0009294	DNA mediated transformation [GO:0009294]
A0A0S3TNS2	A0A0S3TNS2	A0A0S3TNS2_9CYAN	unreviewed	Phycocyanin beta subunit	FIS3754_26550	Fischerella sp. NIES-3754	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A0S3U562	A0A0S3U562	A0A0S3U562_9CYAN	unreviewed	Bicarbonate transport bicarbonate-binding protein CmpA	LEP3755_31720	Leptolyngbya sp. NIES-3755	453	GO:0006811	ion transport [GO:0006811]
A0A0T7BST1	A0A0T7BST1	A0A0T7BST1_9CYAN	unreviewed	Phycocyanin	IJ00_13715	Calothrix sp. 336/3	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A0T7BWM2	A0A0T7BWM2	A0A0T7BWM2_9CYAN	unreviewed	Transcriptional regulator	IJ00_21190	Calothrix sp. 336/3	336	GO:0003700	DNA-binding transcription factor activity [GO:0003700]
A0A0T7BYP6	A0A0T7BYP6	A0A0T7BYP6_9CYAN	unreviewed	S-adenosylmethionine synthase (AdoMet synthase) (EC 2.5.1.6) (MAT) (Methionine adenosyltransferase)	metK IJ00_25590	Calothrix sp. 336/3	420	GO:0000287; GO:0004478; GO:0005524; GO:0005737; GO:0006556; GO:0006730	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; methionine adenosyltransferase activity [GO:0004478]; one-carbon metabolic process [GO:0006730]; S-adenosylmethionine biosynthetic process [GO:0006556]
A0A0W8IEL7	A0A0W8IEL7	A0A0W8IEL7_9MICO	unreviewed	PHB domain-containing protein	AVL62_10740	Serinicoccus chungangensis	441	GO:0016020	membrane [GO:0016020]
A0A0X8WR22	A0A0X8WR22	A0A0X8WR22_9CYAN	unreviewed	General L-amino acid-binding periplasmic protein AapJ	aapJ O77CONTIG1_00888	Leptolyngbya sp. O-77	367		
A0A0X8WTN2	A0A0X8WTN2	A0A0X8WTN2_9CYAN	unreviewed	Aliphatic amidase expression-regulating protein	amiC O77CONTIG1_02094	Leptolyngbya sp. O-77	378	GO:0006865	amino acid transport [GO:0006865]
A0A110AUW4	A0A110AUW4	A0A110AUW4_9CYAN	unreviewed	Coproporphyrin III ferrochelatase (EC 4.99.1.9)	O77CONTIG1_00536	Leptolyngbya sp. O-77	431	GO:0004325; GO:0006783	ferrochelatase activity [GO:0004325]; heme biosynthetic process [GO:0006783]
A0A139WW66	A0A139WW66	A0A139WW66_9CYAN	unreviewed	Phycocyanin	WA1_44155	Scytonema hofmannii PCC 7110	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A140KCF9	A0A140KCF9	A0A140KCF9_9CYAN	unreviewed	Transketolase (EC 2.2.1.1)	STA3757_44440	Stanieria sp. NIES-3757	668	GO:0004802; GO:0046872	metal ion binding [GO:0046872]; transketolase activity [GO:0004802]
A0A173LY16	A0A173LY16	A0A173LY16_9MICO	unreviewed	Elongation factor Tu (EF-Tu)	tuf AUMI_112210	Aurantimicrobium minutum	397	GO:0003746; GO:0003924; GO:0005525; GO:0005737	cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]
A0A176QBJ0	A0A176QBJ0	A0A176QBJ0_9MICO	unreviewed	PHB domain-containing protein	AWH69_12090	Janibacter melonis	420	GO:0016020	membrane [GO:0016020]
A0A1B0ZFX0	A0A1B0ZFX0	A0A1B0ZFX0_9MICO	unreviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groL groEL DAD186_02900	Dermabacter vaginalis	544	GO:0005524; GO:0005737; GO:0016887; GO:0042026; GO:0051082	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]
A0A1B1NER6	A0A1B1NER6	A0A1B1NER6_9MICO	unreviewed	Stomatin/prohibitin-family membrane protease subunit YbbK	SGUI_2534	Serinicoccus hydrothermalis	440	GO:0008233; GO:0016020	membrane [GO:0016020]; peptidase activity [GO:0008233]
A0A1B1TQ84	A0A1B1TQ84	A0A1B1TQ84_9SYNE	unreviewed	Molecular chaperone HtpG	AWQ21_09065	Synechococcus sp. PCC 7003	657	GO:0005524; GO:0006457; GO:0016887; GO:0051082	ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457]
A0A1B1TZ01	A0A1B1TZ01	A0A1B1TZ01_9SYNE	unreviewed	Bifunctional purine biosynthesis protein PurH [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (AICAR transformylase); IMP cyclohydrolase (EC 3.5.4.10) (ATIC) (IMP synthase) (Inosinicase)]	purH AWQ22_08765	Synechococcus sp. PCC 7117	516	GO:0003937; GO:0004643; GO:0006189	IMP cyclohydrolase activity [GO:0003937]; phosphoribosylaminoimidazolecarboxamide formyltransferase activity [GO:0004643]; 'de novo' IMP biosynthetic process [GO:0006189]
A0A1B1TZE7	A0A1B1TZE7	A0A1B1TZE7_9SYNE	unreviewed	Molecular chaperone HtpG	AWQ22_09700	Synechococcus sp. PCC 7117	657	GO:0005524; GO:0006457; GO:0016887; GO:0051082	ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457]
A0A1B7WDJ7	A0A1B7WDJ7	A0A1B7WDJ7_9NOST	unreviewed	Bifunctional purine biosynthesis protein PurH [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (AICAR transformylase); IMP cyclohydrolase (EC 3.5.4.10) (ATIC) (IMP synthase) (Inosinicase)]	purH AN487_16515	Anabaena sp. CRKS33	507	GO:0003937; GO:0004643; GO:0006189	IMP cyclohydrolase activity [GO:0003937]; phosphoribosylaminoimidazolecarboxamide formyltransferase activity [GO:0004643]; 'de novo' IMP biosynthetic process [GO:0006189]
A0A1C0UTT9	A0A1C0UTT9	A0A1C0UTT9_9NOSO	unreviewed	Allophycocyanin	BCD64_04120	Nostoc sp. MBR 210	161	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A1C0V395	A0A1C0V395	A0A1C0V395_9CYAN	unreviewed	Diguanylate cyclase	BCD67_04635	Oscillatoriales cyanobacterium USR001	160	GO:0010181	FMN binding [GO:0010181]
A0A1C0V4S9	A0A1C0V4S9	A0A1C0V4S9_9NOSO	unreviewed	Bifunctional purine biosynthesis protein PurH [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (AICAR transformylase); IMP cyclohydrolase (EC 3.5.4.10) (ATIC) (IMP synthase) (Inosinicase)]	purH BCD64_08595	Nostoc sp. MBR 210	506	GO:0003937; GO:0004643; GO:0006189	IMP cyclohydrolase activity [GO:0003937]; phosphoribosylaminoimidazolecarboxamide formyltransferase activity [GO:0004643]; 'de novo' IMP biosynthetic process [GO:0006189]
A0A1C3ZGQ7	A0A1C3ZGQ7	A0A1C3ZGQ7_9GAMM	unreviewed	Elongation factor Tu (Fragment)	GA0061081_101400	Gilliamella bombicola	390	GO:0003746; GO:0003924; GO:0005525	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]
A0A1C4D9E4	A0A1C4D9E4	A0A1C4D9E4_9GAMM	unreviewed	Translation elongation factor TU (Fragment)	GA0061081_11450	Gilliamella bombicola	199	GO:0003746; GO:0003924; GO:0005525	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]
A0A1D2P3D3	A0A1D2P3D3	A0A1D2P3D3_9CYAN	unreviewed	Carbon dioxide-concentrating protein CcmK	QH73_003675	Scytonema millei VB511283	102	GO:0015977; GO:0031470	carboxysome [GO:0031470]; carbon fixation [GO:0015977]
A0A1D8TWI7	A0A1D8TWI7	A0A1D8TWI7_9CYAN	unreviewed	Glutathione S-transferase	BJP34_23620	Moorea producens PAL-8-15-08-1	199	GO:0006749; GO:0016740	transferase activity [GO:0016740]; glutathione metabolic process [GO:0006749]
A0A1D9G493	A0A1D9G493	A0A1D9G493_9CYAN	unreviewed	Glutathione S-transferase	BJP36_22890	Moorea producens JHB	199	GO:0006749; GO:0016740	transferase activity [GO:0016740]; glutathione metabolic process [GO:0006749]
A0A1E4B3P2	A0A1E4B3P2	A0A1E4B3P2_9BACT	unreviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groL groEL ABS52_17115	Gemmatimonadetes bacterium SCN 70-22	544	GO:0005524; GO:0005737; GO:0016887; GO:0042026; GO:0051082	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]
A0A1E4HUU2	A0A1E4HUU2	A0A1E4HUU2_9PSEU	unreviewed	Carbon monoxide dehydrogenase	ABS81_23265	Pseudonocardia sp. SCN 72-86	283	GO:0016491; GO:0071949	FAD binding [GO:0071949]; oxidoreductase activity [GO:0016491]
A0A1E4QL66	A0A1E4QL66	A0A1E4QL66_MICAE	unreviewed	Phycocyanin beta chain	BFG60_0191	Microcystis aeruginosa NIES-98	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A1E5XJJ7	A0A1E5XJJ7	A0A1E5XJJ7_9RHIZ	unreviewed	LacI family transcriptional regulator	VW23_000195	Devosia insulae DS-56	315		
A0A1E8CYT8	A0A1E8CYT8	A0A1E8CYT8_9MICO	unreviewed	PHB domain-containing protein	BA895_15240	Humibacillus sp. DSM 29435	407	GO:0016021	integral component of membrane [GO:0016021]
A0A1F3L7M4	A0A1F3L7M4	A0A1F3L7M4_9BACT	unreviewed	Fe-S cluster assembly ATPase SufC	A2X01_18950	Bacteroidetes bacterium GWF2_35_48	251	GO:0005524	ATP binding [GO:0005524]
A0A1G2ZJX9	A0A1G2ZJX9	A0A1G2ZJX9_9BACT	unreviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groL groEL A2W23_09465	Planctomycetes bacterium RBG_16_43_13	563	GO:0005524; GO:0005737; GO:0016887; GO:0042026; GO:0051082	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]
A0A1G3FUZ0	A0A1G3FUZ0	A0A1G3FUZ0_9RHOB	unreviewed	ABC transporter substrate-binding protein	A2X69_01050	Rhodobacteraceae bacterium GWF1_65_7	570	GO:0022857	transmembrane transporter activity [GO:0022857]
A0A1H0NZV6	A0A1H0NZV6	A0A1H0NZV6_9MICO	unreviewed	Regulator of protease activity HflC, stomatin/prohibitin superfamily	SAMN04489867_1090	Pedococcus dokdonensis	400	GO:0008233; GO:0016021	integral component of membrane [GO:0016021]; peptidase activity [GO:0008233]
A0A1H5UHN5	A0A1H5UHN5	A0A1H5UHN5_9GAMM	unreviewed	Uncharacterized protein	SAMN04515663_10354	Alcanivorax sp. DSM 26293	506		
