yourlist:M202108196320BA52A5CE8FCD097CB85A53697A3513EA317	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology IDs	Gene ontology (GO)
A0A086DWB8	A0A086DWB8	A0A086DWB8_9MICO	unreviewed	Uncharacterized protein	JF66_16395	Cryobacterium sp. MLB-32	95	GO:0003677	DNA binding [GO:0003677]
A0A086E115	A0A086E115	A0A086E115_9MICO	unreviewed	Membrane protein	JF66_04865	Cryobacterium sp. MLB-32	188	GO:0016021	integral component of membrane [GO:0016021]
A0A094YRD2	A0A094YRD2	A0A094YRD2_9PROT	unreviewed	Membrane protein (Outer membrane protein A)	AD947_12720 AtDm6_1368 HC62_07565	Acetobacter tropicalis	378	GO:0009279	cell outer membrane [GO:0009279]
A0A098U876	A0A098U876	A0A098U876_9BURK	unreviewed	Uncharacterized protein	IA69_16305	Massilia sp. JS1662	954	GO:0009279	cell outer membrane [GO:0009279]
A0A099JPA2	A0A099JPA2	A0A099JPA2_9MICO	unreviewed	DNA-binding protein HU-beta	BJ997_003670 GY21_03615	Cryobacterium roopkundense	95	GO:0003677	DNA binding [GO:0003677]
A0A0A1F4Z6	A0A0A1F4Z6	A0A0A1F4Z6_9BURK	unreviewed	Transforming growth factor-beta induced protein IG-H3	LT85_0598	Collimonas arenae	184		
A0A0A1W079	A0A0A1W079	A0A0A1W079_MICAE	unreviewed	Arsenical pump-driving ATPase (EC 3.6.3.16)	N44_04028	Microcystis aeruginosa NIES-44	358	GO:0016787	hydrolase activity [GO:0016787]
A0A0A6U8F3	A0A0A6U8F3	A0A0A6U8F3_ACTUT	unreviewed	Cold-shock protein	MB27_38035	Actinoplanes utahensis	67	GO:0003676; GO:0005737	cytoplasm [GO:0005737]; nucleic acid binding [GO:0003676]
A0A0A7LMR1	A0A0A7LMR1	A0A0A7LMR1_9BACT	unreviewed	Uncharacterized protein	PK28_14080	Hymenobacter sp. DG25B	1091	GO:0009279	cell outer membrane [GO:0009279]
A0A0B8P2A6	A0A0B8P2A6	A0A0B8P2A6_9VIBR	unreviewed	Alcohol dehydrogenase (EC 1.1.1.1)	JCM19231_2770	Vibrio ishigakensis	278	GO:0004022	alcohol dehydrogenase (NAD+) activity [GO:0004022]
A0A0B8QKX9	A0A0B8QKX9	A0A0B8QKX9_9VIBR	unreviewed	Alcohol dehydrogenase (EC 1.1.1.1)	JCM19241_1482	Vibrio ishigakensis	74	GO:0004022	alcohol dehydrogenase (NAD+) activity [GO:0004022]
A0A0C1N3V6	A0A0C1N3V6	A0A0C1N3V6_9CYAN	unreviewed	Glutamyl-tRNA(Gln) amidotransferase subunit A (Glu-ADT subunit A) (EC 6.3.5.7)	gatA DA73_0233595	Tolypothrix bouteillei VB521301	484	GO:0005524; GO:0006412; GO:0016740; GO:0016787; GO:0030956; GO:0050567	glutamyl-tRNA(Gln) amidotransferase complex [GO:0030956]; ATP binding [GO:0005524]; glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity [GO:0050567]; hydrolase activity [GO:0016787]; transferase activity [GO:0016740]; translation [GO:0006412]
A0A0C2PMZ2	A0A0C2PMZ2	A0A0C2PMZ2_9CYAN	unreviewed	Peptidase S8	SD81_36100	Tolypothrix campylonemoides VB511288	632	GO:0004252	serine-type endopeptidase activity [GO:0004252]
A0A0C2Q2P0	A0A0C2Q2P0	A0A0C2Q2P0_9CYAN	unreviewed	Fasciclin	SD81_09330	Tolypothrix campylonemoides VB511288	139		
A0A0C2QAI4	A0A0C2QAI4	A0A0C2QAI4_9CYAN	unreviewed	Organic solvent tolerance protein OstA	SD81_10350	Tolypothrix campylonemoides VB511288	841		
A0A0C2QNX3	A0A0C2QNX3	A0A0C2QNX3_9CYAN	unreviewed	Membrane protein	SD80_00465	Scytonema tolypothrichoides VB-61278	604	GO:0008643; GO:0015288; GO:0016021	integral component of membrane [GO:0016021]; porin activity [GO:0015288]; carbohydrate transport [GO:0008643]
A0A0C5B8S3	A0A0C5B8S3	A0A0C5B8S3_9MICO	unreviewed	Phosphate-binding protein PstS	pstS C5C51_02995 VT73_04245	Rathayibacter toxicus	365	GO:0035435; GO:0042301; GO:0043190	ATP-binding cassette (ABC) transporter complex [GO:0043190]; phosphate ion binding [GO:0042301]; phosphate ion transmembrane transport [GO:0035435]
A0A0D6P902	A0A0D6P902	A0A0D6P902_9PROT	unreviewed	Oxidoreductase	Asru_0478_10	Acidisphaera rubrifaciens HS-AP3	339	GO:0016491	oxidoreductase activity [GO:0016491]
A0A0D8ZWM1	A0A0D8ZWM1	A0A0D8ZWM1_9CYAN	unreviewed	Membrane protein	UH38_11225	Aliterella atlantica CENA595	606	GO:0008643; GO:0015288; GO:0016021	integral component of membrane [GO:0016021]; porin activity [GO:0015288]; carbohydrate transport [GO:0008643]
A0A0F0HT64	A0A0F0HT64	A0A0F0HT64_9PSEU	unreviewed	10 kDa chaperonin (GroES protein) (Protein Cpn10)	groS groES UK12_08415	Saccharothrix sp. ST-888	101	GO:0005524; GO:0005737; GO:0006457; GO:0016887	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; protein folding [GO:0006457]
A0A0F6U1Z2	A0A0F6U1Z2	A0A0F6U1Z2_MICAE	unreviewed	Arsenical pump-driving ATPase (EC 3.6.3.16)	MYAER_0822	Microcystis aeruginosa NIES-2549	358	GO:0016787	hydrolase activity [GO:0016787]
A0A0K1PM48	A0A0K1PM48	A0A0K1PM48_9DELT	unreviewed	DNA-binding protein HU, putative	AKJ09_01261	Labilithrix luteola	104	GO:0003677	DNA binding [GO:0003677]
A0A0K1S3R2	A0A0K1S3R2	A0A0K1S3R2_9CHRO	unreviewed	Arsenical pump-driving ATPase	VL20_3822	Microcystis panniformis FACHB-1757	358		
A0A0L6T466	A0A0L6T466	A0A0L6T466_9BURK	unreviewed	Cold-shock protein	AD742_19955	Methylibium sp. NZG	69	GO:0003676; GO:0005737	cytoplasm [GO:0005737]; nucleic acid binding [GO:0003676]
A0A0M0JIX7	A0A0M0JIX7	A0A0M0JIX7_9EUKA	unreviewed	Beta-ig-h3 fasciclin	Ctob_003634	Chrysochromulina tobinii	352		
A0A0M6YKP4	A0A0M6YKP4	A0A0M6YKP4_9RHOB	unreviewed	30S ribosomal protein S19	rpsS JDO7802_02111	Jannaschia donghaensis	93	GO:0003735; GO:0006412; GO:0015935; GO:0019843	small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A0M7B8A4	A0A0M7B8A4	A0A0M7B8A4_9RHOB	unreviewed	30S ribosomal protein S19	rpsS JSE7799_01144	Jannaschia seosinensis	92	GO:0003735; GO:0006412; GO:0015935; GO:0019843	small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A0M8K845	A0A0M8K845	A0A0M8K845_9CHLR	unreviewed	D-xylose transport system substrate-binding protein	xylF ARMA_1115 SE16_12480	Ardenticatena maritima	368		
A0A0N0JG68	A0A0N0JG68	A0A0N0JG68_9PROT	unreviewed	Fasciclin	D621_11315	beta proteobacterium AAP51	165		
A0A0N6ZIV4	A0A0N6ZIV4	A0A0N6ZIV4_9ACTN	unreviewed	10 kDa chaperonin (GroES protein) (Protein Cpn10)	groS groES NI25_15120	Streptomyces sp. CCM_MD2014	102	GO:0005524; GO:0005737; GO:0006457; GO:0016887	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; protein folding [GO:0006457]
A0A0P0NFT2	A0A0P0NFT2	A0A0P0NFT2_9SPHI	unreviewed	TonB-dependent receptor	AQ505_11190	Pedobacter sp. PACM 27299	1085	GO:0030246	carbohydrate binding [GO:0030246]
A0A0P0NIP7	A0A0P0NIP7	A0A0P0NIP7_9SPHI	unreviewed	TonB-dependent receptor	AQ505_17570	Pedobacter sp. PACM 27299	1090		
A0A0P1EWF0	A0A0P1EWF0	A0A0P1EWF0_9RHOB	unreviewed	30S ribosomal protein S19	rpsS THS5294_00596	Thalassobacter stenotrophicus	93	GO:0003735; GO:0006412; GO:0015935; GO:0019843	small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A0P4URA4	A0A0P4URA4	A0A0P4URA4_9CYAN	unreviewed	Phosphate-binding protein	NIES2104_03530	Leptolyngbya sp. NIES-2104	346	GO:0035435; GO:0042301; GO:0043190	ATP-binding cassette (ABC) transporter complex [GO:0043190]; phosphate ion binding [GO:0042301]; phosphate ion transmembrane transport [GO:0035435]
A0A0P4UTS2	A0A0P4UTS2	A0A0P4UTS2_9CYAN	unreviewed	Uncharacterized protein	NIES2104_52680	Leptolyngbya sp. NIES-2104	330	GO:0019684; GO:0030077; GO:0045156	plasma membrane light-harvesting complex [GO:0030077]; electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity [GO:0045156]; photosynthesis, light reaction [GO:0019684]
A0A0P4UU62	A0A0P4UU62	A0A0P4UU62_9CYAN	unreviewed	50S ribosomal protein L17	rplQ rpl17 NIES2104_54700	Leptolyngbya sp. NIES-2104	108	GO:0003735; GO:0005840; GO:0006412	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A0P4UZR5	A0A0P4UZR5	A0A0P4UZR5_9CYAN	unreviewed	50S ribosomal protein L11	rplK rpl11 NIES2104_43020	Leptolyngbya sp. NIES-2104	141	GO:0003735; GO:0005840; GO:0006412; GO:0070180	ribosome [GO:0005840]; large ribosomal subunit rRNA binding [GO:0070180]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A0P9B9L0	A0A0P9B9L0	A0A0P9B9L0_VARPD	unreviewed	Uncharacterized protein	APR50_27530	Variovorax paradoxus	149		
A0A0Q4LSG0	A0A0Q4LSG0	A0A0Q4LSG0_9MICO	unreviewed	10 kDa chaperonin (GroES protein) (Protein Cpn10)	groS groES ASE87_11455	Frigoribacterium sp. Leaf44	98	GO:0005524; GO:0005737; GO:0006457; GO:0016887	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; protein folding [GO:0006457]
A0A0Q5N3P9	A0A0Q5N3P9	A0A0Q5N3P9_9MICO	unreviewed	D-ribose ABC transporter substrate-binding protein	ASF89_12985	Frigoribacterium sp. Leaf172	330		
A0A0Q5NYP0	A0A0Q5NYP0	A0A0Q5NYP0_9BURK	unreviewed	Hydroxyacid dehydrogenase	ASG35_10105	Burkholderia sp. Leaf177	350	GO:0008270; GO:0016491	oxidoreductase activity [GO:0016491]; zinc ion binding [GO:0008270]
A0A0Q5SP20	A0A0Q5SP20	A0A0Q5SP20_9BACT	unreviewed	Fasciclin	ASG33_23975	Dyadobacter sp. Leaf189	185		
A0A0Q6TFW3	A0A0Q6TFW3	A0A0Q6TFW3_9BURK	unreviewed	Uncharacterized protein	ASC93_10450	Massilia sp. Root335	963	GO:0009279	cell outer membrane [GO:0009279]
A0A0Q6TVW7	A0A0Q6TVW7	A0A0Q6TVW7_9BURK	unreviewed	RNA-binding protein	ASC95_10405	Pelomonas sp. Root1217	181	GO:0003676	nucleic acid binding [GO:0003676]
A0A0Q6VJN7	A0A0Q6VJN7	A0A0Q6VJN7_9BURK	unreviewed	Cold-shock protein	ASC87_10625	Rhizobacter sp. Root1221	71	GO:0003676; GO:0005737	cytoplasm [GO:0005737]; nucleic acid binding [GO:0003676]
A0A0Q6XGQ2	A0A0Q6XGQ2	A0A0Q6XGQ2_9BURK	unreviewed	RNA-binding protein	ASC91_02850	Pelomonas sp. Root1237	183	GO:0003676	nucleic acid binding [GO:0003676]
A0A0Q7AIY4	A0A0Q7AIY4	A0A0Q7AIY4_9BURK	unreviewed	Cold-shock protein	ASC76_14725	Rhizobacter sp. Root404	69	GO:0003676; GO:0005737	cytoplasm [GO:0005737]; nucleic acid binding [GO:0003676]
A0A0Q7B1F9	A0A0Q7B1F9	A0A0Q7B1F9_9BURK	unreviewed	RNA-binding protein	ASC81_08435	Pelomonas sp. Root405	186	GO:0003676	nucleic acid binding [GO:0003676]
A0A0Q7BYK5	A0A0Q7BYK5	A0A0Q7BYK5_9BURK	unreviewed	CHRD domain-containing protein	ASC92_21265	Variovorax sp. Root411	149		
A0A0Q7EC32	A0A0Q7EC32	A0A0Q7EC32_9RHIZ	unreviewed	Fasciclin	ASC89_04445	Devosia sp. Root413D1	187		
A0A0Q7H4F7	A0A0Q7H4F7	A0A0Q7H4F7_9BURK	unreviewed	CHRD domain-containing protein	ASD05_17105	Variovorax sp. Root434	149		
A0A0Q7X766	A0A0Q7X766	A0A0Q7X766_9BURK	unreviewed	Uncharacterized protein	ASD58_04895	Duganella sp. Root1480D1	967	GO:0009279	cell outer membrane [GO:0009279]
A0A0Q7Y2N3	A0A0Q7Y2N3	A0A0Q7Y2N3_9BURK		Deleted.					
A0A0Q8BWQ5	A0A0Q8BWQ5	A0A0Q8BWQ5_9BURK	unreviewed	Hydroxyacid dehydrogenase	ASD71_10555	Achromobacter sp. Root565	354	GO:0008270; GO:0016491	oxidoreductase activity [GO:0016491]; zinc ion binding [GO:0008270]
A0A0Q8GMU3	A0A0Q8GMU3	A0A0Q8GMU3_9BURK	unreviewed	RNA-binding protein	ASD88_08435	Pelomonas sp. Root662	186	GO:0003676	nucleic acid binding [GO:0003676]
A0A0Q8W5M8	A0A0Q8W5M8	A0A0Q8W5M8_9MICO	unreviewed	Dihydroxyacetone kinase	ASE14_02045	Agromyces sp. Root81	333	GO:0004371; GO:0006071	glycerone kinase activity [GO:0004371]; glycerol metabolic process [GO:0006071]
A0A0R0M660	A0A0R0M660	A0A0R0M660_9CYAN	unreviewed	SLH domain-containing protein	ASL19_06015	Cylindrospermopsis sp. CR12	537	GO:0008643; GO:0015288; GO:0016021	integral component of membrane [GO:0016021]; porin activity [GO:0015288]; carbohydrate transport [GO:0008643]
A0A0R2PU64	A0A0R2PU64	A0A0R2PU64_9ACTN	unreviewed	Cold-shock protein	ABR74_02715	Actinobacteria bacterium BACL4 MAG-121022-bin9	67	GO:0003676; GO:0005737	cytoplasm [GO:0005737]; nucleic acid binding [GO:0003676]
A0A0R2SUD7	A0A0R2SUD7	A0A0R2SUD7_9ACTN	unreviewed	Cold-shock protein	ABS07_03185	Actinobacteria bacterium BACL4 MAG-120920-bin74	67	GO:0003676; GO:0005737	cytoplasm [GO:0005737]; nucleic acid binding [GO:0003676]
A0A0R2U501	A0A0R2U501	A0A0R2U501_9ACTN	unreviewed	Cold-shock protein	ABS08_05565	Actinobacteria bacterium BACL4 MAG-120507-bin0	67	GO:0003676; GO:0005737	cytoplasm [GO:0005737]; nucleic acid binding [GO:0003676]
A0A0S1S8W5	A0A0S1S8W5	A0A0S1S8W5_9FLAO	unreviewed	Beta-Ig-H3/fasciclin	SB49_02615	Sediminicola sp. YIK13	189		
A0A0S3U4G5	A0A0S3U4G5	A0A0S3U4G5_9CYAN	unreviewed	50S ribosomal protein L17	rplQ rpl17 LEP3755_29540	Leptolyngbya sp. NIES-3755	108	GO:0003735; GO:0005840; GO:0006412	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A0S3U7L5	A0A0S3U7L5	A0A0S3U7L5_9CYAN	unreviewed	Periplasmic phosphate binding protein	LEP3755_40100	Leptolyngbya sp. NIES-3755	313	GO:0035435; GO:0042301; GO:0043190	ATP-binding cassette (ABC) transporter complex [GO:0043190]; phosphate ion binding [GO:0042301]; phosphate ion transmembrane transport [GO:0035435]
A0A0S3UBJ1	A0A0S3UBJ1	A0A0S3UBJ1_9CYAN	unreviewed	50S ribosomal protein L11	rplK rpl11 LEP3755_54060	Leptolyngbya sp. NIES-3755	141	GO:0003735; GO:0005840; GO:0006412; GO:0070180	ribosome [GO:0005840]; large ribosomal subunit rRNA binding [GO:0070180]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A0S3UE72	A0A0S3UE72	A0A0S3UE72_9CYAN	unreviewed	ABC transporter solute-binding protein	LEP3755_63070	Leptolyngbya sp. NIES-3755	370	GO:0007155; GO:0030001; GO:0046872	metal ion binding [GO:0046872]; cell adhesion [GO:0007155]; metal ion transport [GO:0030001]
A0A0U3SWK4	A0A0U3SWK4	A0A0U3SWK4_9BACT	unreviewed	SusC/RagA family TonB-linked outer membrane protein	AUC43_07310	Hymenobacter sedentarius	1069	GO:0009279	cell outer membrane [GO:0009279]
A0A0U5EQ97	A0A0U5EQ97	A0A0U5EQ97_9PROT	unreviewed	Outer membrane protein	ompA ASN_359	Acetobacter senegalensis	378	GO:0009279	cell outer membrane [GO:0009279]
A0A0X8WU20	A0A0X8WU20	A0A0X8WU20_9CYAN	unreviewed	30S ribosomal protein S8	rpsH rps8 O77CONTIG1_01997	Leptolyngbya sp. O-77	133	GO:0003735; GO:0005840; GO:0006412; GO:0019843	ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A125SN95	A0A125SN95	A0A125SN95_9BURK	unreviewed	Hydroxyacid dehydrogenase	AXG89_36705	Burkholderia sp. PAMC 26561	350	GO:0008270; GO:0016491	oxidoreductase activity [GO:0016491]; zinc ion binding [GO:0008270]
A0A126P6U4	A0A126P6U4	A0A126P6U4_9BACT	unreviewed	Uncharacterized protein	AXW84_04365	Hymenobacter sp. PAMC 26628	1165		
A0A126PDU0	A0A126PDU0	A0A126PDU0_9BACT	unreviewed	Uncharacterized protein	AXW84_13055	Hymenobacter sp. PAMC 26628	1061	GO:0009279	cell outer membrane [GO:0009279]
A0A126PGJ2	A0A126PGJ2	A0A126PGJ2_9BACT	unreviewed	SusC/RagA family TonB-linked outer membrane protein	AXW84_16125	Hymenobacter sp. PAMC 26628	1051	GO:0009279	cell outer membrane [GO:0009279]
A0A127PKY0	A0A127PKY0	A0A127PKY0_9BURK	unreviewed	Fasciclin domain protein	CAter282_0506	Collimonas arenae	184		
A0A142HKL7	A0A142HKL7	A0A142HKL7_9BACT	unreviewed	STN domain-containing protein	A0257_21550	Hymenobacter sp. PAMC 26554	1157	GO:0009279	cell outer membrane [GO:0009279]
A0A149U4L0	A0A149U4L0	A0A149U4L0_9PROT	unreviewed	OmpA-like domain-containing protein	AD948_05525	Acetobacter senegalensis	378	GO:0009279	cell outer membrane [GO:0009279]
A0A158GWR1	A0A158GWR1	A0A158GWR1_9BURK	unreviewed	Periplasmic binding protein/LacI transcriptional regulator	AWB69_03467	Caballeronia udeis	320		
A0A172T9W6	A0A172T9W6	A0A172T9W6_9DEIO	unreviewed	DUF11 domain-containing protein	SU48_08185	Deinococcus puniceus	903		
A0A177JPL3	A0A177JPL3	A0A177JPL3_SPHYA	unreviewed	TonB-dependent receptor	AX777_14210	Sphingobium yanoikuyae (Sphingomonas yanoikuyae)	991	GO:0009279	cell outer membrane [GO:0009279]
A0A181CCF1	A0A181CCF1	A0A181CCF1_9PROT	unreviewed	30S ribosomal protein S19	rpsS ICJ78_11230 KRIGEM_02226	Komagataeibacter rhaeticus	92	GO:0003735; GO:0006412; GO:0015935; GO:0019843	small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A1A6C798	A0A1A6C798	A0A1A6C798_9GAMM	unreviewed	Hydroxyacid dehydrogenase	Thpro_020140	Acidihalobacter prosperus	354	GO:0008270; GO:0016491	oxidoreductase activity [GO:0016491]; zinc ion binding [GO:0008270]
A0A1A7C2A9	A0A1A7C2A9	A0A1A7C2A9_9BURK	unreviewed	Uncharacterized protein	ASR47_1007171	Janthinobacterium psychrotolerans	499		
A0A1B3NF14	A0A1B3NF14	A0A1B3NF14_9BRAD	unreviewed	30S ribosomal protein S19	rpsS BSY19_3152	Bosea sp. RAC05	92	GO:0003735; GO:0006412; GO:0015935; GO:0019843	small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A1B7WTM3	A0A1B7WTM3	A0A1B7WTM3_9NOST	unreviewed	Cell division protein SepF	sepF AN487_01530	Anabaena sp. CRKS33	198	GO:0000917; GO:0005737; GO:0043093	cytoplasm [GO:0005737]; division septum assembly [GO:0000917]; FtsZ-dependent cytokinesis [GO:0043093]
A0A1D8IMF2	A0A1D8IMF2	A0A1D8IMF2_9GAMM	unreviewed	Hydroxyacid dehydrogenase	BI364_06125	Acidihalobacter prosperus	354	GO:0008270; GO:0016491	oxidoreductase activity [GO:0016491]; zinc ion binding [GO:0008270]
A0A1D8K8F5	A0A1D8K8F5	A0A1D8K8F5_9GAMM	unreviewed	Hydroxyacid dehydrogenase	BJI67_09380	Acidihalobacter aeolianus	354	GO:0008270; GO:0016491	oxidoreductase activity [GO:0016491]; zinc ion binding [GO:0008270]
A0A1D8QTP7	A0A1D8QTP7	A0A1D8QTP7_9PROT	unreviewed	Outer membrane protein	A4S02_01970 S101447_00421	Acetobacter ascendens	375	GO:0009279	cell outer membrane [GO:0009279]
A0A1E4IP24	A0A1E4IP24	A0A1E4IP24_9BURK	unreviewed	CHRD domain-containing protein	ABS94_33255	Variovorax sp. SCN 67-85	149		
A0A1E4LVG7	A0A1E4LVG7	A0A1E4LVG7_9BURK	unreviewed	Transporter	ABT02_06325	Comamonadaceae bacterium SCN 68-20	105		
A0A1E4QGA7	A0A1E4QGA7	A0A1E4QGA7_MICAE	unreviewed	Arsenical pump-driving ATPase (EC 3.6.3.16)	BFG60_2131	Microcystis aeruginosa NIES-98	358	GO:0016787	hydrolase activity [GO:0016787]
A0A1F5N9U1	A0A1F5N9U1	A0A1F5N9U1_9BACT	unreviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groL groEL A2717_02380	Candidatus Doudnabacteria bacterium RIFCSPHIGHO2_01_FULL_41_86	548	GO:0005524; GO:0005737; GO:0016887; GO:0042026; GO:0051082	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]
A0A1F5V1H1	A0A1F5V1H1	A0A1F5V1H1_FRAXR	unreviewed	Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70)	dnaK A2Z21_06555	Fraserbacteria sp. (strain RBG_16_55_9)	621	GO:0005524; GO:0006457; GO:0016887; GO:0051082	ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457]
A0A1F6SAT3	A0A1F6SAT3	A0A1F6SAT3_9BACT	unreviewed	Elongation factor Tu (EF-Tu)	tuf A3G09_01625	Candidatus Moranbacteria bacterium RIFCSPLOWO2_12_FULL_48_12	396	GO:0003746; GO:0003924; GO:0005525; GO:0005737	cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]
A0A1F8VCY5	A0A1F8VCY5	A0A1F8VCY5_9BURK	unreviewed	Glycerophosphodiester phosphodiesterase	A2037_15250	Curvibacter sp. GWA2_63_95	391	GO:0006629; GO:0008081	phosphoric diester hydrolase activity [GO:0008081]; lipid metabolic process [GO:0006629]
A0A1G1SWR7	A0A1G1SWR7	A0A1G1SWR7_9BACT	unreviewed	Uncharacterized protein	BEN48_04285	Hymenobacter glacialis	729		
A0A1G1TKU7	A0A1G1TKU7	A0A1G1TKU7_9BACT	unreviewed	OMP_b-brl_2 domain-containing protein	BEN49_04850	Hymenobacter coccineus	237		
A0A1G1TLG4	A0A1G1TLG4	A0A1G1TLG4_9BACT	unreviewed	Uncharacterized protein	BEN49_18880	Hymenobacter coccineus	1073	GO:0009279	cell outer membrane [GO:0009279]
A0A1G4A8D2	A0A1G4A8D2	A0A1G4A8D2_9GAMM	unreviewed	Phosphate-binding protein PstS	A2190_01550	Xanthomonadales bacterium RIFOXYA1_FULL_69_10	364	GO:0035435; GO:0042301; GO:0043190	ATP-binding cassette (ABC) transporter complex [GO:0043190]; phosphate ion binding [GO:0042301]; phosphate ion transmembrane transport [GO:0035435]
A0A1G4ZQT6	A0A1G4ZQT6	A0A1G4ZQT6_9BURK	unreviewed	CHRD domain-containing protein	SAMN03159363_3135	Variovorax sp. EL159	149		
A0A1G5UNX7	A0A1G5UNX7	A0A1G5UNX7_9SPHN	unreviewed	Outer membrane protein OmpA	SAMN03159340_03205	Sphingomonas sp. NFR15	340	GO:0006811; GO:0009279; GO:0015288; GO:0046930	cell outer membrane [GO:0009279]; pore complex [GO:0046930]; porin activity [GO:0015288]; ion transport [GO:0006811]
A0A1G6CXA8	A0A1G6CXA8	A0A1G6CXA8_9FLAO	unreviewed	Uncaracterized surface protein containing fasciclin (FAS1) repeats	SAMN03097699_0978	Flavobacteriaceae bacterium MAR_2010_188	202		
A0A1G6QBA1	A0A1G6QBA1	A0A1G6QBA1_9BURK	unreviewed	Erythritol transport system substrate-binding protein	SAMN05421548_111140	Paraburkholderia lycopersici	317		
