"","Accession","n","Protein.Group","Description","codes","K2","K4","B1","B2","B3","B5","B6","K3","K5","B4","K1"
"22","tr|A0A0D2JVB6|A0A0D2JVB6_9CHLO",2,2798,"Elongation factor Tu  chloroplastic OS=Monoraphidium neglectum OX=145388 GN=MNEG_5220 PE=3 SV=1",145388,2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
"23","tr|A0A0D6P902|A0A0D6P902_9PROT",3,2283,"Oxidoreductase OS=Acidisphaera rubrifaciens HS-AP3 OX=1231350 GN=Asru_0478_10 PE=4 SV=1",1231350,NA,NA,2,6,3,NA,NA,NA,NA,NA,NA
"24","tr|A0A0D8ZTV3|A0A0D8ZTV3_9CYAN",2,2267,"Phosphoglucosamine mutase OS=Aliterella atlantica CENA595 OX=1618023 GN=UH38_10520 PE=3 SV=1",1618023,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","tr|A0A0D8ZWM1|A0A0D8ZWM1_9CYAN",5,1355,"Membrane protein OS=Aliterella atlantica CENA595 OX=1618023 GN=UH38_11225 PE=3 SV=1",1618023,NA,NA,5,9,4,2,3,NA,NA,NA,NA
"26","tr|A0A0D8ZX60|A0A0D8ZX60_9CYAN",2,1850,"Phycocyanin OS=Aliterella atlantica CENA595 OX=1618023 GN=UH38_10430 PE=3 SV=1",1618023,13,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","tr|A0A0D8ZX73|A0A0D8ZX73_9CYAN",5,1958,"Phospholipid-binding protein OS=Aliterella atlantica CENA595 OX=1618023 GN=UH38_00850 PE=4 SV=1",1618023,3,4,2,NA,2,2,NA,NA,NA,NA,NA
"28","tr|A0A0F2R967|A0A0F2R967_9PSED",2,2753,"Ferritin OS=Pseudomonas sp. BRH_c35 OX=1629711 GN=VR76_00045 PE=3 SV=1",1629711,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","tr|A0A0F6RNY4|A0A0F6RNY4_MICAE",2,2117,"Phycocyanin beta chain OS=Microcystis aeruginosa NIES-2549 OX=1641812 GN=MYAER_4261 PE=3 SV=1",1641812,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","tr|A0A0G2HN27|A0A0G2HN27_9SYNE",4,2001,"Allophycocyanin OS=Candidatus Synechococcus spongiarum SP3 OX=1604020 GN=TE42_00285 PE=3 SV=1",1604020,5,5,NA,NA,NA,NA,NA,NA,2,NA,2
"31","tr|A0A0K1PM48|A0A0K1PM48_9DELT",5,1153,"DNA-binding protein HU  putative OS=Labilithrix luteola OX=1391654 GN=AKJ09_01261 PE=3 SV=1",1391654,NA,NA,4,9,7,2,6,NA,NA,NA,NA
"32","tr|A0A0K1S4J3|A0A0K1S4J3_9CHRO",2,2117,"Phycocyanin beta chain OS=Microcystis panniformis FACHB-1757 OX=1638788 GN=VL20_4027 PE=3 SV=1",1638788,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","tr|A0A0K1SAE5|A0A0K1SAE5_9CHRO",2,2756,"Global nitrogen regulatory protein CRP family of transcriptional regulator OS=Microcystis panniformis FACHB-1757 OX=1638788 GN=VL20_6260 PE=4 SV=1",1638788,4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"34","tr|A0A0K2LVT4|A0A0K2LVT4_9NOST",3,2389,"Peptidyl-prolyl cis-trans isomerase OS=Anabaena sp. WA102 OX=1647413 GN=AA650_05135 PE=3 SV=1",1647413,2,NA,2,NA,4,NA,NA,NA,NA,NA,NA
"35","tr|A0A0K2M0Z0|A0A0K2M0Z0_9NOST",4,1101,"Carbon dioxide-concentrating protein CcmK OS=Anabaena sp. WA102 OX=1647413 GN=AA650_14630 PE=3 SV=1",1647413,9,10,NA,5,3,NA,NA,NA,NA,NA,NA
"36","tr|A0A0K2ZX84|A0A0K2ZX84_XANCT",8,1239,"FAS1 domain-containing protein OS=Xanthomonas translucens pv. poae OX=227946 GN=XTPLMG728_2020 PE=4 SV=1",227946,2,2,5,4,4,3,2,NA,NA,5,NA
"37","tr|A0A0K6HLZ5|A0A0K6HLZ5_9RHOB",3,1880,"Mannose-binding protein/fructose-binding protein/ribose-binding protein OS=Pannonibacter indicus OX=466044 GN=Ga0061067_101124 PE=4 SV=1",466044,2,10,NA,NA,NA,NA,NA,4,NA,NA,NA
"38","tr|A0A0L0IVU1|A0A0L0IVU1_9RHOB",3,1880,"Sugar ABC transporter OS=Pannonibacter phragmitetus OX=121719 GN=APZ00_14785 PE=4 SV=1",121719,2,10,NA,NA,NA,NA,NA,4,NA,NA,NA
"39","tr|A0A0M0SKZ7|A0A0M0SKZ7_9CYAN",2,2746,"Elongation factor Ts OS=Hapalosiphon sp. MRB220 OX=1704290 GN=tsf PE=3 SV=1",1704290,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","tr|A0A0M3V6N3|A0A0M3V6N3_9NOSO",4,2004,"ATP synthase gamma chain OS=Nostoc piscinale CENA21 OX=224013 GN=atpG PE=3 SV=1",224013,4,2,NA,NA,NA,NA,NA,3,NA,NA,4
"41","tr|A0A0M4SHD6|A0A0M4SHD6_9NOSO",5,1491,"Nucleoside diphosphate kinase OS=Nostoc piscinale CENA21 OX=224013 GN=ndk PE=3 SV=1",224013,11,2,NA,3,2,NA,2,NA,NA,NA,NA
"42","tr|A0A0M6YKP4|A0A0M6YKP4_9RHOB",2,1604,"30S ribosomal protein S19 OS=Jannaschia donghaensis OX=420998 GN=rpsS PE=3 SV=1",420998,NA,NA,5,NA,14,NA,NA,NA,NA,NA,NA
"43","tr|A0A0M7B8A4|A0A0M7B8A4_9RHOB",2,1604,"30S ribosomal protein S19 OS=Jannaschia seosinensis OX=313367 GN=rpsS PE=3 SV=1",313367,NA,NA,5,NA,14,NA,NA,NA,NA,NA,NA
"44","tr|A0A0N7Z3N3|A0A0N7Z3N3_9CYAN",2,2432,"Polyketide_cyc domain-containing protein OS=Leptolyngbya sp. NIES-2104 OX=1552121 GN=NIES2104_02930 PE=4 SV=1",1552121,NA,4,NA,NA,4,NA,NA,NA,NA,NA,NA
"45","tr|A0A0P1EWF0|A0A0P1EWF0_9RHOB",2,1604,"30S ribosomal protein S19 OS=Thalassobacter stenotrophicus OX=266809 GN=rpsS PE=3 SV=1",266809,NA,NA,5,NA,14,NA,NA,NA,NA,NA,NA
"46","tr|A0A0P4UKM5|A0A0P4UKM5_9CYAN",11,85,"Phycocyanin beta chain OS=Leptolyngbya sp. NIES-2104 OX=1552121 GN=NIES2104_19250 PE=3 SV=1",1552121,20,26,18,22,41,31,27,5,8,13,18
"47","tr|A0A0P4UTS2|A0A0P4UTS2_9CYAN",5,659,"Uncharacterized protein OS=Leptolyngbya sp. NIES-2104 OX=1552121 GN=NIES2104_52680 PE=4 SV=1",1552121,NA,NA,9,13,15,5,6,NA,NA,NA,NA
"48","tr|A0A0P4UUI5|A0A0P4UUI5_9CYAN",9,667,"Urea ABC transporter  substrate binding protein UrtA OS=Leptolyngbya sp. NIES-2104 OX=1552121 GN=NIES2104_47500 PE=4 SV=1",1552121,2,2,4,15,13,2,3,2,NA,NA,5
"49","tr|A0A0Q5N3P9|A0A0Q5N3P9_9MICO",2,2990,"D-ribose ABC transporter substrate-binding protein OS=Frigoribacterium sp. Leaf172 OX=1736285 GN=ASF89_12985 PE=4 SV=1",1736285,NA,NA,3,NA,2,NA,NA,NA,NA,NA,NA
"50","tr|A0A0Q6R5S0|A0A0Q6R5S0_9MICO",5,1265,"Cold-shock protein OS=Yonghaparkia sp. Root332 OX=1736516 GN=ASC54_08850 PE=4 SV=1",1736516,5,7,NA,NA,NA,NA,NA,7,5,NA,2
"51","tr|A0A0Q6R845|A0A0Q6R845_9MICO",2,3011,"Sugar ABC transporter substrate-binding protein OS=Yonghaparkia sp. Root332 OX=1736516 GN=ASC54_01330 PE=4 SV=1",1736516,NA,2,NA,NA,NA,NA,NA,3,NA,NA,NA
"52","tr|A0A0Q6TVW7|A0A0Q6TVW7_9BURK",2,2231,"RNA-binding protein OS=Pelomonas sp. Root1217 OX=1736430 GN=ASC95_10405 PE=4 SV=1",1736430,NA,NA,NA,NA,NA,6,3,NA,NA,NA,NA
"53","tr|A0A0Q6W7P5|A0A0Q6W7P5_9BURK",4,2220,"Uncharacterized protein OS=Pelomonas sp. Root1237 OX=1736434 GN=ASC91_20200 PE=4 SV=1",1736434,4,3,NA,2,NA,NA,3,NA,NA,NA,NA
"54","tr|A0A0Q6XGQ2|A0A0Q6XGQ2_9BURK",2,2231,"RNA-binding protein OS=Pelomonas sp. Root1237 OX=1736434 GN=ASC91_02850 PE=4 SV=1",1736434,NA,NA,NA,NA,NA,6,3,NA,NA,NA,NA
"55","tr|A0A0Q7B1F9|A0A0Q7B1F9_9BURK",2,2231,"RNA-binding protein OS=Pelomonas sp. Root405 OX=1736529 GN=ASC81_08435 PE=4 SV=1",1736529,NA,NA,NA,NA,NA,6,3,NA,NA,NA,NA
"56","tr|A0A0Q7S9D4|A0A0Q7S9D4_9CAUL",2,3021,"OmpA-like domain-containing protein (Fragment) OS=Brevundimonas sp. Root1423 OX=1736462 GN=ASD25_10625 PE=4 SV=1",1736462,NA,2,NA,NA,NA,NA,NA,3,NA,NA,NA
"57","tr|A0A0Q8GMU3|A0A0Q8GMU3_9BURK",2,2231,"RNA-binding protein OS=Pelomonas sp. Root662 OX=1736580 GN=ASD88_08435 PE=4 SV=1",1736580,NA,NA,NA,NA,NA,6,3,NA,NA,NA,NA
"58","tr|A0A0R0MCD1|A0A0R0MCD1_9CYAN",3,1249,"DNA-directed RNA polymerase subunit gamma OS=Cylindrospermopsis sp. CR12 OX=1747196 GN=rpoC1 PE=3 SV=1",1747196,10,8,NA,6,NA,NA,NA,NA,NA,NA,NA
"59","tr|A0A0R0MH59|A0A0R0MH59_9CYAN",3,1142,"XRE family transcriptional regulator OS=Cylindrospermopsis sp. CR12 OX=1747196 GN=ASL19_05390 PE=4 SV=1",1747196,8,12,NA,9,NA,NA,NA,NA,NA,NA,NA
"60","tr|A0A0R2PU64|A0A0R2PU64_9ACTN",4,1689,"Cold-shock protein OS=Actinobacteria bacterium BACL4 MAG-121022-bin9 OX=1655582 GN=ABR74_02715 PE=4 SV=1",1655582,NA,NA,2,NA,NA,6,5,NA,NA,6,NA
"61","tr|A0A0R2SUD7|A0A0R2SUD7_9ACTN",4,1689,"Cold-shock protein OS=Actinobacteria bacterium BACL4 MAG-120920-bin74 OX=1655609 GN=ABS07_03185 PE=4 SV=1",1655609,NA,NA,2,NA,NA,6,5,NA,NA,6,NA
"62","tr|A0A0R2U501|A0A0R2U501_9ACTN",4,1689,"Cold-shock protein OS=Actinobacteria bacterium BACL4 MAG-120507-bin0 OX=1655610 GN=ABS08_05565 PE=4 SV=1",1655610,NA,NA,2,NA,NA,6,5,NA,NA,6,NA
"63","tr|A0A0S3UE72|A0A0S3UE72_9CYAN",4,828,"ABC transporter solute-binding protein OS=Leptolyngbya sp. NIES-3755 OX=1752064 GN=LEP3755_63070 PE=3 SV=1",1752064,NA,NA,11,10,11,6,NA,NA,NA,NA,NA
"64","tr|A0A0T2KRR3|A0A0T2KRR3_9MICO",3,1916,"ATP synthase subunit beta OS=Microbacterium sp. Root61 OX=1736570 GN=atpD PE=3 SV=1",1736570,NA,2,NA,NA,NA,NA,8,5,NA,NA,NA
"65","tr|A0A0T7BTJ7|A0A0T7BTJ7_9CYAN",4,1101,"Carbon dioxide-concentrating protein CcmK OS=Calothrix sp. 336/3 OX=1337936 GN=IJ00_15090 PE=3 SV=1",1337936,9,10,NA,5,3,NA,NA,NA,NA,NA,NA
"66","tr|A0A0T7BWM2|A0A0T7BWM2_9CYAN",2,3048,"Transcriptional regulator OS=Calothrix sp. 336/3 OX=1337936 GN=IJ00_21190 PE=3 SV=1",1337936,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","tr|A0A0U3SWK4|A0A0U3SWK4_9BACT",2,2408,"SusC/RagA family TonB-linked outer membrane protein OS=Hymenobacter sedentarius OX=1411621 GN=AUC43_07310 PE=3 SV=1",1411621,NA,NA,NA,NA,NA,2,6,NA,NA,NA,NA
"68","tr|A0A0U5EQ97|A0A0U5EQ97_9PROT",5,1327,"Outer membrane protein OS=Acetobacter senegalensis OX=446692 GN=ompA PE=4 SV=1",446692,NA,NA,3,4,8,4,6,NA,NA,NA,NA
"69","tr|A0A0X8P181|A0A0X8P181_ALCXX",3,1977,"DNA-directed RNA polymerase subunit beta' OS=Alcaligenes xylosoxydans xylosoxydans OX=85698 GN=rpoC PE=3 SV=1",85698,3,6,NA,4,NA,NA,NA,NA,NA,NA,NA
"70","tr|A0A0X8WR22|A0A0X8WR22_9CYAN",4,2405,"General L-amino acid-binding periplasmic protein AapJ OS=Leptolyngbya sp. O-77 OX=1080068 GN=aapJ PE=3 SV=1",1080068,3,2,NA,NA,NA,NA,NA,NA,2,NA,3
"71","tr|A0A0X8WU20|A0A0X8WU20_9CYAN",2,2670,"30S ribosomal protein S8 OS=Leptolyngbya sp. O-77 OX=1080068 GN=rpsH PE=3 SV=1",1080068,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA
"72","tr|A0A0X8WUT4|A0A0X8WUT4_9CYAN",3,2018,"Uncharacterized protein OS=Leptolyngbya sp. O-77 OX=1080068 GN=O77CONTIG1_02689 PE=4 SV=1",1080068,2,NA,NA,5,4,NA,NA,NA,NA,NA,NA
"73","tr|A0A0X8WW16|A0A0X8WW16_9CYAN",9,268,"Allophycocyanin alpha chain OS=Leptolyngbya sp. O-77 OX=1080068 GN=apcA PE=3 SV=1",1080068,5,4,10,28,25,12,16,4,NA,8,NA
"74","tr|A0A110AUW4|A0A110AUW4_9CYAN",2,2048,"Coproporphyrin III ferrochelatase OS=Leptolyngbya sp. O-77 OX=1080068 GN=O77CONTIG1_00536 PE=3 SV=1",1080068,10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","tr|A0A126P6U4|A0A126P6U4_9BACT",2,2455,"Uncharacterized protein OS=Hymenobacter sp. PAMC 26628 OX=1484118 GN=AXW84_04365 PE=4 SV=1",1484118,NA,NA,NA,NA,NA,2,6,NA,NA,NA,NA
"76","tr|A0A126PDU0|A0A126PDU0_9BACT",3,1765,"Uncharacterized protein OS=Hymenobacter sp. PAMC 26628 OX=1484118 GN=AXW84_13055 PE=3 SV=1",1484118,NA,NA,NA,NA,2,NA,8,NA,NA,6,NA
"77","tr|A0A126PGJ2|A0A126PGJ2_9BACT",2,2568,"SusC/RagA family TonB-linked outer membrane protein OS=Hymenobacter sp. PAMC 26628 OX=1484118 GN=AXW84_16125 PE=3 SV=1",1484118,NA,NA,NA,NA,NA,2,5,NA,NA,NA,NA
"78","tr|A0A149U4L0|A0A149U4L0_9PROT",5,1327,"OmpA-like domain-containing protein OS=Acetobacter senegalensis OX=446692 GN=AD948_05525 PE=4 SV=1",446692,NA,NA,3,4,8,4,6,NA,NA,NA,NA
"79","tr|A0A158GWR1|A0A158GWR1_9BURK",2,2990,"Periplasmic binding protein/LacI transcriptional regulator OS=Caballeronia udeis OX=1232866 GN=AWB69_03467 PE=4 SV=1",1232866,NA,NA,3,NA,2,NA,NA,NA,NA,NA,NA
"80","tr|A0A177JPL3|A0A177JPL3_SPHYA",3,2608,"TonB-dependent receptor OS=Sphingobium yanoikuyae OX=13690 GN=AX777_14210 PE=3 SV=1",13690,NA,NA,NA,NA,NA,2,3,NA,NA,3,NA
"81","tr|A0A181CCF1|A0A181CCF1_9PROT",2,1604,"30S ribosomal protein S19 OS=Komagataeibacter rhaeticus OX=215221 GN=rpsS PE=3 SV=1",215221,NA,NA,5,NA,14,NA,NA,NA,NA,NA,NA
"82","tr|A0A199NZ11|A0A199NZ11_XANCT",8,1239,"Fasciclin OS=Xanthomonas translucens pv. poae OX=227946 GN=A6R73_05185 PE=4 SV=1",227946,2,2,5,4,4,3,2,NA,NA,5,NA
"83","tr|A0A1B1TX37|A0A1B1TX37_9SYNE",3,1142,"DNA-binding response regulator OS=Synechococcus sp. PCC 7117 OX=195498 GN=AWQ22_05010 PE=4 SV=1",195498,8,12,NA,9,NA,NA,NA,NA,NA,NA,NA
"84","tr|A0A1B3NF14|A0A1B3NF14_9BRAD",2,1604,"30S ribosomal protein S19 OS=Bosea sp. RAC05 OX=1842539 GN=rpsS PE=3 SV=1",1842539,NA,NA,5,NA,14,NA,NA,NA,NA,NA,NA
"85","tr|A0A1B7V516|A0A1B7V516_9NOST",4,1101,"Carbon dioxide-concentrating protein CcmK OS=Anabaena sp. LE011-02 OX=1710892 GN=AN482_09790 PE=3 SV=1",1710892,9,10,NA,5,3,NA,NA,NA,NA,NA,NA
"86","tr|A0A1B7VJ23|A0A1B7VJ23_9NOST",4,1101,"Carbon dioxide-concentrating protein CcmK OS=Anabaena sp. WA113 OX=1710889 GN=AN488_15830 PE=3 SV=1",1710889,9,10,NA,5,3,NA,NA,NA,NA,NA,NA
"87","tr|A0A1B7VXJ4|A0A1B7VXJ4_APHFL",4,1101,"Carbon dioxide-concentrating protein CcmK OS=Aphanizomenon flos-aquae LD13 OX=1710894 GN=AN481_09025 PE=3 SV=1",1710894,9,10,NA,5,3,NA,NA,NA,NA,NA,NA
"88","tr|A0A1B7W8C1|A0A1B7W8C1_9NOST",4,1101,"Carbon dioxide-concentrating protein CcmK OS=Anabaena sp. MDT14b OX=1710886 GN=AN485_18765 PE=3 SV=1",1710886,9,10,NA,5,3,NA,NA,NA,NA,NA,NA
"89","tr|A0A1B7WKL8|A0A1B7WKL8_9NOST",4,1101,"Carbon dioxide-concentrating protein CcmK OS=Anabaena sp. CRKS33 OX=1710888 GN=AN487_09745 PE=3 SV=1",1710888,9,10,NA,5,3,NA,NA,NA,NA,NA,NA
"90","tr|A0A1B7WNC1|A0A1B7WNC1_9NOST",4,2059,"Translation initiation factor IF-1 OS=Anabaena sp. CRKS33 OX=1710888 GN=infA PE=3 SV=1",1710888,2,NA,4,4,3,NA,NA,NA,NA,NA,NA
"91","tr|A0A1B7X781|A0A1B7X781_APHFL",4,1101,"Carbon dioxide-concentrating protein CcmK OS=Aphanizomenon flos-aquae WA102 OX=1710896 GN=AN484_02945 PE=3 SV=1",1710896,9,10,NA,5,3,NA,NA,NA,NA,NA,NA
"92","tr|A0A1C0VF05|A0A1C0VF05_9NOSO",5,1491,"Nucleoside diphosphate kinase OS=Nostoc sp. MBR 210 OX=1881015 GN=ndk PE=3 SV=1",1881015,11,2,NA,3,2,NA,2,NA,NA,NA,NA
"93","tr|A0A1D2P358|A0A1D2P358_9CYAN",4,1101,"Carbon dioxide-concentrating protein CcmK OS=Scytonema millei VB511283 OX=1245923 GN=QH73_003670 PE=3 SV=1",1245923,9,10,NA,5,3,NA,NA,NA,NA,NA,NA
"94","tr|A0A1D8QTP7|A0A1D8QTP7_9PROT",5,1327,"Outer membrane protein OS=Acetobacter ascendens OX=481146 GN=A4S02_01970 PE=4 SV=1",481146,NA,NA,3,4,8,4,6,NA,NA,NA,NA
"95","tr|A0A1D8TWI7|A0A1D8TWI7_9CYAN",2,2520,"Glutathione S-transferase OS=Moorea producens PAL-8-15-08-1 OX=1458985 GN=BJP34_23620 PE=3 SV=1",1458985,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","tr|A0A1D9G493|A0A1D9G493_9CYAN",2,2520,"Glutathione S-transferase OS=Moorea producens JHB OX=1454205 GN=BJP36_22890 PE=3 SV=1",1454205,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","tr|A0A1E2WEG2|A0A1E2WEG2_9NOSO",4,1101,"Carbon dioxide-concentrating protein CcmK OS=Nostoc sp. KVJ20 OX=457944 GN=A4S05_17575 PE=3 SV=1",457944,9,10,NA,5,3,NA,NA,NA,NA,NA,NA
"98","tr|A0A1E4B3P2|A0A1E4B3P2_9BACT",2,2663,"60 kDa chaperonin OS=Gemmatimonadetes bacterium SCN 70-22 OX=1660163 GN=groL PE=3 SV=1",1660163,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","tr|A0A1E4M6G6|A0A1E4M6G6_9MICO",7,1646,"Cold-shock protein OS=Leifsonia sp. SCN 70-46 OX=1660107 GN=ABT06_14890 PE=4 SV=1",1660107,NA,NA,2,NA,2,4,2,2,2,NA,3
"100","tr|A0A1E4QL66|A0A1E4QL66_MICAE",2,2117,"Phycocyanin beta chain OS=Microcystis aeruginosa NIES-98 OX=267869 GN=BFG60_0191 PE=3 SV=1",267869,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","tr|A0A1E5QMT7|A0A1E5QMT7_9CYAN",3,2018,"Uncharacterized protein OS=Desertifilum sp. IPPAS B-1220 OX=1781255 GN=BH720_06910 PE=4 SV=1",1781255,2,NA,NA,5,4,NA,NA,NA,NA,NA,NA
"102","tr|A0A1F5V1H1|A0A1F5V1H1_FRAXR",2,2700,"Chaperone protein DnaK OS=Fraserbacteria sp. (strain RBG_16_55_9) OX=1817864 GN=dnaK PE=2 SV=1",1817864,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA
"103","tr|A0A1G2ZJX9|A0A1G2ZJX9_9BACT",2,2707,"60 kDa chaperonin OS=Planctomycetes bacterium RBG_16_43_13 OX=1801967 GN=groL PE=3 SV=1",1801967,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","tr|A0A1G6QBA1|A0A1G6QBA1_9BURK",2,2990,"Erythritol transport system substrate-binding protein OS=Paraburkholderia lycopersici OX=416944 GN=SAMN05421548_111140 PE=4 SV=1",416944,NA,NA,3,NA,2,NA,NA,NA,NA,NA,NA
"105","tr|A0A1G8SBC7|A0A1G8SBC7_9ACTN",5,2090,"40-residue YVTN family beta-propeller repeat-containing protein OS=Frankineae bacterium MT45 OX=1882833 GN=SAMN05444157_2538 PE=4 SV=1",1882833,NA,NA,2,NA,2,2,2,NA,NA,4,NA
"106","tr|A0A1H0IR06|A0A1H0IR06_9RHOB",2,1604,"30S ribosomal protein S19 OS=Sulfitobacter litoralis OX=335975 GN=rpsS PE=3 SV=1",335975,NA,NA,5,NA,14,NA,NA,NA,NA,NA,NA
